English,Translation,,Similar
to help,để giúp đỡ,,0
the her,cô ấy,,0
here,đây,,0
the high,mức cao,,0
hill,đồi,,0
him,anh ta,,0
his,của anh ấy,,0
the history,lịch sử,,0
hit,đánh,,0
to hold,giữ,,0
the hole,cái lỗ,,0
the home,ngôi nhà,,0
to hope,hy vọng,,0
the horse,con ngựa,,0
hot,nóng,,0
the hour,giờ,,0
the house,ngôi nhà,,0
how,Làm sao,,0
the however,tuy nhiên,,0
human,nhân loại,,0
hundred,trăm,,0
husband,chồng,,0
the idea,ý tưởng,,0
to identify,để xác định,,0
if,nếu như,,0
image,hình ảnh,,0
imagine,tưởng tượng,,0
important,quan trọng,,0
improve,cải thiện,,0
in,TRONG,,0
to include,bao gồm,,0
to increase,tăng lên,,0
indeed,thực vậy,,0
to indicate,để chỉ ra,,0
individual,cá nhân,,0
the industry,ngành công nghiệp,,0
the information,thông tin,,0
inside,bên trong,,0
instead,thay vì,,0
the interest,sự quan tâm,,0
into,vào trong,,0
to introduce,để giới thiệu,,0
invest,đầu tư,,0
involve,liên quan,,0
the iron,bàn ủi,,0
the island,hòn đảo,,0
issue,vấn đề,,0
it,Nó,,0
job,công việc,,0
to join,tham gia,,0
just,chỉ,,0
to keep,để giữ,,0
the key,chìa khóa,,0
kid,đứa trẻ,,0
to kill,giết,,0
kind,loại,,0
king,nhà vua,,0
to kitchen,vào bếp,,0
to know,để biết,,0
the land,đất,,0
the language,ngôn ngữ,,0
large,lớn,,0
last,cuối cùng,,0
to late,đến muộn,,0
to laugh,cười,,0
the law,luật pháp,,0
lay,đặt nằm,,0
the lead,người dẫn đầu,,0
to learn,học,,0
least,ít nhất,,0
to leave,rời đi,,0
left,bên trái,,0
the leg,cái chân,,0
length,chiều dài,,0
less,ít hơn,,0
to let,để cho,,0
the letter,lá thư,,0
the level,mức độ,,0
to lie,nói dối,,0
life,mạng sống,,0
the light,ánh sáng,,0
to like,thích,,0
likely,rất có thể,,0
the line,dòng,,0
the list,danh sách,,0
to listen,lắng nghe,,0
little,nhỏ bé,,0
to live,sống,,0
local,địa phương,,0
long,dài,,0
to look,nhìn,,0
to lose,thua,,0
the loss,sự mất mát,,0
lot,nhiều,,0
to love,yêu,,0
low,thấp,,0
the machine,cái máy,,0
main,chủ yếu,,0
to make,làm,,0
the man,người đàn ông,,0
many,nhiều,,0
the map,bản đồ,,0
the mark,dấu hiệu,,0
the market,thị trường,,0
marry,kết hôn,,0
the matter,vấn đề,,0
may,có thể,,0
maybe,Có lẽ,,0
me,Tôi,,0
to mean,có nghĩa là,,0
the measure,thước đo,,0
the meat,thịt,,0
to meet,gặp gỡ,,0
the member,thành viên,,0
the memory,ký ức,,0
the mention,sự đề cập,,0
method,phương pháp,,0
the middle,ở giữa,,0
might,có thể,,0
mile,dặm,,0
the milk,sữa,,0
the mind,tâm trí,,0
the minute,phút,,0
miss,cô,,0
model,người mẫu,,0
the moment,khoảnh khắc,,0
the money,tiền,,0
the month,tháng,,0
more,hơn,,0
the morning,buổi sáng,,0
most,hầu hết,,0
the mother,người mẹ,,0
the mouth,cái miệng,,0
to move,di chuyển,,0
much,nhiều,,0
the music,âm nhạc,,0
must,phải,,0
the name,cái tên,,0
the nation,quốc gia,,0
natural,tự nhiên,,0
nature,thiên nhiên,,0
near,gần,,0
nearly,gần như,,0
necessary,cần thiết,,0
to need,cần,,0
the never,không bao giờ,,0
new,mới,,0
the news,tin tức,,0
next,Kế tiếp,,0
nice,Đẹp,,0
the night,đêm,,0
nine,chín,,0
no,KHÔNG,,0
none,không có,,0
normal,Bình thường,,0
north,phía bắc,,0
the nose,cái mũi,,0
not,không,,0
the note,ghi chú,,0
nothing,Không có gì,,0
to notice,để ý,,0
now,Hiện nay,,0
the number,số,,0
occur,xảy ra,,0
ocean,đại dương,,0
of,của,,0
off,tắt,,0
to offer,cung cấp,,0
the office,văn phòng,,0
to often,thường xuyên,,0
the oil,dầu,,0
old,cũ,,0
on,TRÊN,,0
once,một lần,,0
one,một,,0
only,chỉ một,,0
to open,mở,,0
to operate,vận hành,,0
the opportunity,cơ hội,,0
the or,hoặc,,0
to order,đặt hàng,,0
to organize,tổ chức,,0
the other,cái khác,,0
our,của chúng tôi,,0
out,ngoài,,0
outside,ngoài,,0
the over,kết thúc,,0
to own,sở hữu,,0
the owner,chủ sở hữu,,0
the page,trang,,0
the paint,sơn,,0
pair,đôi,,0
the paper,tờ giấy,,0
parent,cha mẹ,,0
the part,phần,,0
particular,cụ thể,,0
party,buổi tiệc,,0
to pass,vượt qua,,0
past,quá khứ,,0
path,con đường,,0
patient,kiên nhẫn,,0
pattern,mẫu,,0
to pay,trả tiền,,0
the peace,hòa bình,,0
people,mọi người,,0
the per,mỗi,,0
perform,trình diễn,,0
perhaps,có lẽ,,0
period,Giai đoạn,,0
the person,người đó,,0
personal,riêng tư,,0
phone,điện thoại,,0
photo,bức ảnh,,0
to pick,để chọn,,0
the picture,bức tranh,,0
piece,cái,,0
the place,nơi,,0
plan,kế hoạch,,0
the plant,cái cây,,0
to play,chơi,,0
please,Xin vui lòng,,0
the point,điểm,,0
police,cảnh sát,,0
policy,chính sách,,0
the poor,người nghèo,,0
popular,phổ biến,,0
the position,vị trí,,0
possible,khả thi,,0
post,bưu kiện,,0
the power,sức mạnh,,0
practice,luyện tập,,0
to prepare,chuẩn bị,,0
to present,trình bày,,0
press,nhấn,,0
pretty,đẹp,,0
to prevent,để ngăn chặn,,0
the price,giá cả,,0
probably,có lẽ,,0
problem,vấn đề,,0
the process,quá trình,,0
to produce,để sản xuất,,0
product,sản phẩm,,0
program,chương trình,,0
project,dự án,,0
to promise,hứa,,0
prove,chứng minh,,0
to provide,để cung cấp,,0
public,công cộng,,0
to pull,kéo,,0
the purpose,mục đích,,0
to push,đẩy,,0
to put,để đặt,,0
the quality,chất lượng,,0
the question,câu hỏi,,0
quick,nhanh,,0
the quiet,sự yên tĩnh,,0
quite,khá,,0
race,loài,,0
radio,radio,,1
the rain,mưa,,0
to raise,nâng cao,,0
the range,phạm vi,,0
to rate,đánh giá,,0
the rather,thay vào đó,,0
to reach,để đạt được,,0
to read,đọc,,0
ready,sẵn sàng,,0
real,thực tế,,0
to realize,nhận ra,,0
really,Thực ra,,0
the reason,lý do,,0
to receive,để nhận,,0
recent,gần đây,,0
to recognize,để nhận ra,,0
to record,ghi lại,,0
red,màu đỏ,,0
to reduce,để giảm,,0
the refer,người giới thiệu,,0
reflect,phản ánh,,0
region,vùng đất,,0
to relate,liên quan,,0
the religion,tôn giáo,,0
remain,duy trì,,0
to remember,để nhớ,,0
to remove,để loại bỏ,,0
to report,báo cáo,,0
to represent,đại diện cho,,0
to require,yêu cầu,,0
research,nghiên cứu,,0
resource,tài nguyên,,0
respond,trả lời,,0
the rest,phần còn lại,,0
result,kết quả,,0
to return,trở lại,,0
reveal,tiết lộ,,0
rich,giàu có,,0
right,Phải,,0
to ring,đổ chuông,,0
to rise,tăng lên,,0
the river,con sông,,0
the road,con đường,,0
rock,đá,,0
role,vai trò,,0
the room,căn phòng,,0
the rule,quy tắc,,0
to run,chạy,,0
safe,an toàn,,0
same,như nhau,,0
to save,để tiết kiệm,,0
to say,để nói,,0
scene,bối cảnh,,0
school,trường học,,0
science,khoa học,,0
score,điểm,,0
the sea,biển,,0
season,mùa,,0
the seat,chỗ ngồi,,0
second,thứ hai,,0
the section,phần,,0
to see,để xem,,0
seek,tìm kiếm,,0
to seem,dường như,,0
to sell,bán,,0
to send,gửi,,0
the sense,ý nghĩa,,0
serious,nghiêm trọng,,0
to serve,để phục vụ,,0
to set,để thiết lập,,0
to seven,đến bảy,,0
several,một số,,0
to shake,lắc,,0
shall,nên,,0
the shape,hình dạng,,0
to share,chia sẻ,,0
she,cô ấy,,0
the sheet,tờ giấy,,0
shine,chiếu sáng,,0
the ship,con tàu,,0
the shirt,chiếc áo sơ mi,,0
the shoe,chiếc giày,,0
shop,cửa hàng,,0
short,ngắn,,0
should,nên,,0
the shoulder,vai,,0
to show,để hiển thị,,0
the side,bên,,0
the sign,dấu hiệu,,0
significant,có ý nghĩa,,0
similar,tương tự,,0
simple,đơn giản,,0
since,từ,,0
to sing,hát,,0
single,đơn,,0
sir,thưa ngài,,0
the sister,chị gái,,0
to sit,ngồi,,0
site,địa điểm,,0
the situation,tình hình,,0
six,sáu,,0
to size,để kích thước,,0
skill,kỹ năng,,0
the skin,da,,0
the sky,bầu trời,,0
to sleep,đi ngủ,,0
slow,chậm,,0
small,bé nhỏ,,0
to smile,mỉm cười,,0
to smoke,hút thuốc,,0
the snow,tuyết,,0
so,Vì thế,,0
social,xã hội,,0
the society,xã hội,,0
the soft,sự mềm mại,,0
some,một số,,0
someone,người nào đó,,0
something,thứ gì đó,,0
sometimes,Thỉnh thoảng,,0
the son,con trai,,0
the song,bài hát,,0
soon,sớm,,0
sorry,Xin lỗi,,0
the sort,sắp xếp,,0
the sound,âm thanh,,0
south,phía nam,,0
the space,không gian,,0
to speak,nói chuyện,,0
special,đặc biệt,,0
specific,cụ thể,,0
speech,lời nói,,0
speed,tốc độ,,0
to spend,chi tiêu,,0
sport,thể thao,,0
spot,điểm,,0
spread,lây lan,,0
the spring,mùa xuân,,0
the square,hình vuông,,0
to stand,đứng,,0
standard,tiêu chuẩn,,0
the star,ngôi sao,,0
to start,bắt đầu,,0
to state,để nêu,,0
the station,nhà ga,,0
to stay,ở lại,,0
the step,bước,,0
to stick,dính vào,,0
still,vẫn,,0
the stone,hòn đá,,0
to stop,dừng lại,,0
the store,cửa hàng,,0
the story,câu chuyện,,0
straight,thẳng,,0
strange,lạ lùng,,0
the street,đường phố,,0
strong,mạnh,,0
student,học sinh,,0
to study,học,,0
stuff,chất liệu,,0
style,phong cách,,0
subject,chủ thể,,0
to succeed,để thành công,,0
such,như là,,0
to sudden,đột ngột,,0
to suggest,đề nghị,,0
suit,bộ đồ,,0
the summer,mùa hè,,0
the sun,mặt trời,,0
to supply,cung cấp,,0
to support,để hỗ trợ,,0
to suppose,giả sử,,0
sure,Chắc chắn,,0
surface,bề mặt,,0
to surprise,ngạc nhiên,,0
sweet,ngọt,,0
the table,cái bàn,,0
to take,lấy,,0
to talk,nói chuyện,,0
tall,cao,,0
the taste,hương vị,,0
the tax,thuế,,0
to teach,dạy,,0
team,đội,,0
to tell,kể,,0
to ten,đến mười,,0
term,thuật ngữ,,0
the test,bài kiểm tra,,0
than,hơn,,0
thank,cám ơn,,0
that,cái đó,,0
the,cái,,0
their,của họ,,0
them,họ,,0
to then,đến lúc đó,,0
there,ở đó,,0
these,những cái này,,0
they,họ,,0
thick,dày,,0
thin,gầy,,0
the thing,điều đó,,0
to think,suy nghĩ,,0
third,thứ ba,,0
this,cái này,,0
those,những thứ kia,,0
though,mặc dù,,0
the thought,suy nghĩ,,0
thousand,nghìn,,0
three,ba,,0
through,bởi vì,,0
to throw,ném,,0
thus,do đó,,0
the tie,cà vạt,,0
the time,thời gian,,0
tiny,nhỏ xíu,,0
tire,lốp xe,,0
to,ĐẾN,,0
today,Hôm nay,,0
the together,cùng nhau,,0
tomorrow,Ngày mai,,0
tone,giai điệu,,0
tongue,lưỡi,,0
too,cũng vậy,,0
tool,dụng cụ,,0
the tooth,cái răng,,0
the top,đỉnh cao,,0
total,tổng cộng,,0
to touch,chạm vào,,0
toward,theo hướng,,0
the town,thị trấn,,0
track,theo dõi,,0
the trade,việc buôn bán,,0
to train,đào tạo,,0
to travel,đi du lịch,,0
the tree,cái cây,,0
trial,sự thử nghiệm,,0
trip,chuyến đi,,0
the trouble,rắc rối,,0
true,ĐÚNG VẬY,,0
trust,lòng tin,,0
truth,sự thật,,0
to try,để thử,,0
to turn,quay lại,,0
twelve,mười hai,,0
twenty,hai mươi,,0
two,hai,,0
type,kiểu,,0
the under,bên dưới,,0
to understand,để hiểu,,0
the unit,đơn vị,,0
until,cho đến khi,,0
up,hướng lên,,0
upon,trên,,0
to use,sử dụng,,0
usual,thường,,0
the value,giá trị,,0
various,nhiều,,0
very,rất,,0
the view,quan điểm,,0
village,làng bản,,0
to visit,đến thăm,,0
the voice,giọng nói,,0
to wait,chờ đợi,,0
to walk,đi bộ,,0
the wall,bức tường,,0
to want,muốn,,0
the war,cuộc chiến,,0
warm,ấm,,0
to warn,để cảnh báo,,0
to wash,rửa,,0
to watch,để xem,,0
the water,nước,,0
the wave,làn sóng,,0
the way,con đường,,0
we,chúng tôi,,0
weak,yếu đuối,,0
wealth,sự giàu có,,0
to wear,mặc,,0
the weather,thời tiết,,0
the week,tuần,,0
the weight,trọng lượng,,0
welcome,Chào mừng,,0
well,Tốt,,0
west,hướng tây,,0
what,Gì,,0
to when,đến khi nào,,0
where,Ở đâu,,0
the whether,liệu,,0
which,cái mà,,0
while,trong khi,,0
white,trắng,,0
who,Ai,,0
whole,trọn,,0
whom,ai,,0
whose,của ai,,0
why,Tại sao,,0
wide,rộng,,0
wife,vợ,,0
wild,hoang dã,,0
will,sẽ,,0
to win,để giành chiến thắng,,0
wind,gió,,0
the window,cửa sổ,,0
the wine,rượu vang,,0
the wing,cánh,,0
the winter,mùa đông,,0
the wire,dây,,0
to wise,khôn ngoan,,0
to wish,ước,,0
with,với,,0
within,ở trong,,0
without,không có,,0
the woman,người phụ nữ,,0
the wonder,điều kỳ diệu,,0
the wood,gỗ,,0
to work,đi làm,,0
world,thế giới,,0
to worry,lo lắng,,0
worth,đáng giá,,0
would,sẽ,,0
to write,viết,,0
wrong,sai,,0
yard,sân,,0
yeah,vâng,,0
the year,năm,,0
yes,Đúng,,0
yet,chưa,,0
you,Bạn,,0
young,trẻ,,0
your,của bạn,,0
