English,Translation,Transcription,Similar
to eat,لتناول الطعام,li-tnawl al-t'am,0
the edge,الحافة,al-hafah,0
the effect,التأثير,al-tatahyr,0
the egg,البيضة,al-baydah,0
eight,ثمانية,tahmanyah,0
the either,سواء,swa',0
electric,كهربائي,kahrbayy,0
else,آخر,aakahr,0
to end,حتى النهاية,hta al-nhayah,0
enemy,العدو,al-'dw,0
the energy,الطاقة,al-taqah,0
to enjoy,للاستمتاع,li-lasatmta',0
enough,كافٍ,kafin,0
to enter,للدخول,li-ladkhawl,0
entire,كامل,kaml,0
equal,متساوي,matsawy,0
especially,خصوصاً,kahswsaan,0
to even,حتى,hta,0
evening,مساء,msa',0
the event,الحدث,al-hadth,0
the ever,من أي وقت مضى,mn ay waqt mda,0
every,كل,kl,0
everyone,الجميع,al-jamy',0
everything,كل شئ,kl sahy,0
exact,بالضبط,baladbt,0
the example,المثال,al-mathal,0
except,يستثني,yasttahny,0
excite,تثير,tathyr,0
to exercise,لممارسة الرياضة,li-mmarsah al-ryadah,0
expect,يتوقع,yatwq',0
expensive,غالي,ghaly,0
the experience,التجربة,al-tajrbah,0
to explain,لشرح,li-sahrh,0
express,يعبر,y'br,0
the eye,العين,al-'yn,0
the face,الوجه,al-wajh,0
the fact,الحقيقة,al-haqyqah,0
fail,يفشل,yafshl,0
to fall,للسقوط,li-lasqwt,0
false,خطأ شنيع,kahta sahny',0
the family,العائلة,al-'aylah,0
famous,مشهور,mashhawr,0
far,بعيد,b'yd,0
the farm,المزرعة,al-mazr'ah,0
fast,سريع,sary',0
the father,الأب,al-ab,0
the fear,الخوف,al-kahwf,0
to feel,ليشعر,li-yash'r,0
feet,قدم,qadm,0
few,عدد قليل,'dd qalyl,0
the field,الميدان,al-maydan,0
fight,يعارك,y'ark,0
figure,شكل,sahkl,0
fill,يملأ,yamla,0
film,فيلم,faylm,0
final,أخير,akahyr,0
to find,للعثور على,li-l'tahwr 'la,0
fine,بخير,bakhyr,0
the finger,الاصبع,al-asb',0
to finish,لإنهاء,li-inha',0
the fire,النار,al-nar,0
first,أولاً,awlaan,0
the fish,السمكة,al-samkah,0
fit,ملائم,mlaym,0
five,خمسة,kahmsah,0
fix,يصلح,yaslh,0
flat,مستوي,mastwy,0
the floor,الكلمة,al-kalmah,0
flow,تدفق,tadfq,0
the flower,الزهرة,al-zahrah,0
the fly,الذبابة,al-dahbabah,0
to follow,للمتابعة,li-lamtab'ah,0
the food,الطعام,al-t'am,0
the foot,القدم,al-qadm,0
the for,ل,l,0
the force,القوة,al-qwah,0
foreign,أجنبي,ajanby,0
forest,غابة,ghabah,0
to forget,لننسى,li-nansa,0
the form,النموذج,al-namwdahj,0
forward,إلى الأمام,ila al-amam,0
four,أربعة,arb'ah,0
free,حر,hr,0
fresh,طازج,tazj,0
the friend,الصديق,al-sadyq,0
from,من,mn,0
the front,الجبهة,al-jabhah,0
full,ممتلىء,mamtla',0
the fun,المتعة,al-mt'ah,0
game,لعبة,li-'bah,0
to garden,إلى الحديقة,ila al-hadyqah,0
gas,غاز,ghaz,0
general,عام,'am,0
to get,للحصول على,li-lahswl 'la,0
the girl,الفتاة,al-ftaah,0
to give,لإعطاء,li-i'ta',0
the glass,الزجاج,al-zjaj,0
to go,للذهاب,li-ladhhab,0
god,إله,ilh,0
the gold,الذهب,al-dahhb,0
good,جيد,jayd,0
the government,الحكومة,al-hakwmah,0
the grass,العشب,al-'sahb,0
great,عظيم,'zaym,0
to green,إلى اللون الأخضر,ila al-lawn al-akahdr,0
ground,أرضي,arady,0
the group,المجموعة,al-majmw'ah,0
to grow,لتنمو,li-tanmw,0
guess,يخمن,yakhmn,0
the gun,البندقية,al-bandqyah,0
the hair,الشعر,al-sh'r,0
the half,النصف,al-nasf,0
the hand,اليد,al-yd,0
to happen,أن يحدث,an yahdth,0
happy,سعيد,s'yd,0
hard,صعب,s'b,0
to have,لديك,li-dayk,0
he,هو,hw,0
the head,الرأس,al-ras,0
the health,الصحة,al-shah,0
to hear,لسماع,li-sma',0
the heart,القلب,al-qalb,0
the heat,الحرارة,al-hrarah,0
heavy,ثقيل,tahqyl,0
to help,للمساعدة,li-lamsa'dah,0
the her,لها,li-ha,0
here,هنا,hna,0
the high,عالية,'al-yah,0
hill,تلة,tlah,0
him,له,li-h,0
his,له,li-h,0
the history,التاريخ,al-taraykh,0
hit,يضرب,yadrb,0
to hold,لعقد,li-'qd,0
the hole,الحفرة,al-hafrah,0
the home,المنزل,al-manzl,0
to hope,للأمل,li-laml,0
the horse,الحصان,al-hsan,0
hot,حار,har,0
the hour,الساعة,al-sa'ah,0
the house,المنزل,al-manzl,0
how,كيف,kayf,0
the however,ومع ذلك,wm' dahlk,0
human,بشر,bashr,0
hundred,مائة,mayah,0
husband,زوج,zawj,0
the idea,الفكرة,al-fakrah,0
to identify,لتحديد,li-tahdyd,0
if,لو,li-w,0
image,صورة,sawrah,0
imagine,يتصور,yatswr,0
important,مهم,mahm,0
improve,يحسن,yahsn,0
in,في,fy,0
to include,لتشمل,li-tashml,0
to increase,لزيادة,li-zyadah,0
indeed,بالفعل,balf'l,0
to indicate,للإشارة,li-lisharah,0
individual,فردي,fardy,0
the industry,الصناعة,al-sna'ah,0
the information,المعلومات,al-m'lawmat,0
inside,داخل,dakahl,0
instead,بدلاً من,badlaan mn,0
the interest,الفائدة,al-faydah,0
into,داخل,dakahl,0
to introduce,لتقديم,li-taqdym,0
invest,يستثمر,yasttahmr,0
involve,يتضمن,yatdmn,0
the iron,الحديد,al-hadyd,0
the island,الجزيرة,al-jazyrah,0
issue,مشكلة,mashklah,0
it,هو - هي,hw - hy,0
job,وظيفة,wazyfah,0
to join,للانضمام,li-lanadmam,0
just,فقط,faqt,0
to keep,للاحتفاظ بها,li-lahatfaz bha,0
the key,المفتاح,al-maftah,0
kid,طفل,tafl,0
to kill,لقتل,li-qatl,0
kind,عطوف,'tawf,0
king,ملِك,mlik,0
to kitchen,إلى المطبخ,ila al-matbkh,0
to know,لتعرف,li-t'rf,0
the land,الأرض,al-ard,0
the language,اللغة,al-laghah,0
large,كبير,kabyr,0
last,آخر,aakahr,0
to late,إلى وقت متأخر,ila waqt mtakahr,0
to laugh,للضحك,li-ladhk,0
the law,القانون,al-qanawn,0
lay,يضع,yd',0
the lead,الرصاص,al-rsas,0
to learn,للتعلم,li-lt'lm,0
least,الأقل,al-aql,0
to leave,للمغادرة,li-lamghadrah,0
left,غادر,ghadr,0
the leg,الساق,al-saq,0
length,طول,tawl,0
less,أقل,aql,0
to let,للسماح,li-lasmah,0
the letter,الرسالة,al-rsalah,0
the level,المستوى,al-mastwa,0
to lie,للكذب,li-lakdhb,0
life,حياة,hyaah,0
the light,ضوء,dw',0
to like,لمثل,li-mathl,0
likely,محتمل,mahtml,0
the line,الخط,al-kaht,0
the list,القائمة,al-qaymah,0
to listen,للاستماع,li-lasatma',0
little,قليل,qalyl,0
to live,للعيش,li-l'yash,0
local,محلي,mahly,0
long,طويل,tawyl,0
to look,للنظر,li-lanzr,0
to lose,ليخسر,li-yakhsr,0
the loss,الخسارة,al-kahsarah,0
lot,كثير,kathyr,0
to love,للحب,li-lahb,0
low,قليل,qalyl,0
the machine,الآلة,al-aalah,0
main,رئيسي,rayysy,0
to make,لجعل,li-j'l,0
the man,الرجل,al-rajl,0
many,كثير,kathyr,0
the map,الخريطة,al-kahrytah,0
the mark,العلامة,al-'lamah,0
the market,السوق,al-sawq,0
marry,الزواج,al-zwaj,0
the matter,الأمر,al-amr,0
may,يمكن,yamkn,0
maybe,ربما,rabma,0
me,أنا,ana,0
to mean,يعني,y'ny,0
the measure,التدبير,al-tadbyr,0
the meat,اللحوم,al-lahwm,0
to meet,للقاء,li-lqa',0
the member,العضو,al-'dw,0
the memory,الذاكرة,al-dhakrah,0
the mention,الذكر,al-dahkr,0
method,طريقة,taryqah,0
the middle,الوسط,al-wast,0
might,قد,qd,0
mile,ميل,mayl,0
the milk,الحليب,al-halyb,0
the mind,العقل,al-'ql,0
the minute,الدقيقة,al-daqyqah,0
miss,يفتقد,yaftqd,0
model,نموذج,namwdahj,0
the moment,اللحظة,al-lahzah,0
the money,المال,al-mal,0
the month,الشهر,al-sahhr,0
more,أكثر,akathr,0
the morning,الصباح,al-sbah,0
most,معظم,m'zm,0
the mother,الأم,al-am,0
the mouth,الفم,al-fm,0
to move,للتحرك,li-lathrk,0
much,كثيراً,kathyraan,0
the music,الموسيقى,al-mawsyqa,0
must,يجب,yajb,0
the name,الاسم,al-asm,0
the nation,الأمة,al-amah,0
natural,طبيعي,taby'y,0
nature,طبيعة,taby'ah,0
near,قريب,qaryb,0
nearly,تقريبا,taqryba,0
necessary,ضروري,darwry,0
to need,بحاجة,bhajah,0
the never,أبدا,abda,0
new,جديد,jadyd,0
the news,الأخبار,al-akahbar,0
next,التالي,al-taly,0
nice,لطيف - جيد,li-tayf - jayd,0
the night,الليل,al-layl,0
nine,تسعة,ts'ah,0
no,لا,li-a,0
none,لا أحد,li-a ahd,0
normal,طبيعي,taby'y,0
north,شمال,sahmal,0
the nose,الأنف,al-anf,0
not,لا,li-a,0
the note,المذكرة,al-madhkrah,0
nothing,لا شئ,li-a sahy,0
to notice,لملاحظة,li-mlahzah,0
now,الآن,al-aan,0
the number,الرقم,al-raqm,0
occur,يحدث,yahdth,0
ocean,محيط,mahyt,0
of,ل,l,0
off,عن,'n,0
to offer,لتقديم,li-taqdym,0
the office,المكتب,al-maktb,0
to often,في كثير من الأحيان,fy kathyr mn al-ahyan,0
the oil,الزيت,al-zayt,0
old,قديم,qadym,0
on,على,'la,0
once,مرة واحدة,mrah wahdah,0
one,واحد,wahd,0
only,فقط,faqt,0
to open,لفتح,li-fath,0
to operate,للعمل,li-l'ml,0
the opportunity,الفرصة,al-farsah,0
the or,أو,aw,0
to order,للطلب,li-latlb,0
to organize,لتنظيم,li-tanzym,0
the other,الآخر,al-aakahr,0
our,ملكنا,malkna,0
out,خارج,kharj,0
outside,الخارج,al-kharj,0
the over,انتهى,anatha,0
to own,لامتلاك,li-amatlak,0
the owner,المالك,al-malk,0
the page,الصفحة,al-safhah,0
the paint,الطلاء,al-tla',0
pair,زوج,zawj,0
the paper,الورقة,al-warqah,0
parent,الوالدين,al-waladyn,0
the part,الجزء,al-jz',0
particular,خاص,khas,0
party,حزب,hazb,0
to pass,لتمرير,li-tamryr,0
past,ماضي,mady,0
path,طريق,taryq,0
patient,مريض,maryd,0
pattern,نمط,namt,0
to pay,للدفع,li-ladf',0
the peace,السلام,al-slam,0
people,الناس,al-nas,0
the per,لكل,li-kl,0
perform,يؤدي,yؤdy,0
perhaps,ربما,rabma,0
period,فترة,fatrah,0
the person,الشخص,al-sahkhs,0
personal,شخصي,sahkhasy,0
phone,هاتف,hatf,0
photo,صورة,sawrah,0
to pick,للاختيار,li-lakahtyar,0
the picture,الصورة,al-sawrah,0
piece,قطعة,qt'ah,0
the place,المكان,al-mkan,0
plan,يخطط,yakhtt,0
the plant,النبات,al-nbat,0
to play,للعب,li-l'b,0
please,لو سمحت,li-w samht,0
the point,النقطة,al-naqtah,0
police,شرطة,sahrtah,0
policy,سياسة,syasah,0
the poor,الفقراء,al-faqra',0
popular,شائع,shay',0
the position,الموقف,al-mawqf,0
possible,ممكن,mamkn,0
post,بريد,baryd,0
the power,القوة,al-qwah,0
practice,يمارس,ymars,0
to prepare,للتحضير,li-lathdayr,0
to present,لتقديم,li-taqdym,0
press,يضعط,yd't,0
pretty,جميل,jamyl,0
to prevent,لمنع,li-mn',0
the price,السعر,al-s'r,0
probably,من المحتمل,mn al-mahtml,0
problem,مشكلة,mashklah,0
the process,هذه العملية,hadhh al-'malyah,0
to produce,لإنتاج,li-intaj,0
product,منتج,mantj,0
program,برنامج,barnamj,0
project,مشروع,mashrw',0
to promise,للوعد,li-lw'd,0
prove,يثبت,yathbt,0
to provide,لتوفير,li-tawfyr,0
public,عام,'am,0
to pull,لسحب,li-sahb,0
the purpose,الغرض,al-gahrd,0
to push,لدفع,li-df',0
to put,لوضع,li-wd',0
the quality,الجودة,al-jawdah,0
the question,السؤال,al-sؤal,0
quick,سريع,sary',0
the quiet,الهدوء,al-hadw',0
quite,تمامًا,tmamana,0
race,سباق,sbaq,0
radio,راديو,radayw,0
the rain,المطر,al-matr,0
to raise,لرفع,li-rf',0
the range,النطاق,al-ntaq,0
to rate,لتقييم,li-taqyym,0
the rather,بالأحرى,balahra,0
to reach,للوصول,li-lawswl,0
to read,للقراءة,li-laqra'ah,0
ready,مستعد,mast'd,0
real,حقيقي,haqyqy,0
to realize,لتحقيق,li-tahqyq,0
really,حقًا,hqana,0
the reason,السبب,al-sabb,0
to receive,لتلقي,li-talqy,0
recent,مؤخرًا,mؤkahrana,0
to recognize,للتعرف,li-lt'rf,0
to record,للتسجيل,li-latsjayl,0
red,أحمر,ahamr,0
to reduce,لتقليل,li-taqlyl,0
the refer,الرجوع,al-rajw',0
reflect,يعكس,y'ks,0
region,منطقة,mantqah,0
to relate,لربط,li-rabt,0
the religion,الدين,al-dayn,0
remain,يبقى,yabqa,0
to remember,لنتذكر,li-natdhakr,0
to remove,لإزالة,li-izalah,0
to report,للإبلاغ,li-liblagh,0
to represent,لتمثيل,li-tamthayl,0
to require,أن تتطلب,an tattlb,0
research,بحث,bahth,0
resource,الموارد,al-mward,0
respond,يرد,yard,0
the rest,البقية,al-baqyah,0
result,نتيجة,natyjah,0
to return,للعودة,li-l'wdah,0
reveal,يكشف,yakshf,0
rich,ثري,tahry,0
right,يمين,yamyn,0
to ring,للرنين,li-larnyn,0
to rise,في الارتفاع,fy al-aratfa',0
the river,النهر,al-nahr,0
the road,الطريق,al-taryq,0
rock,صخر,sakhr,0
role,دور,dawr,0
the room,الغرفة,al-gahrfah,0
the rule,القاعدة,al-qa'dah,0
to run,للتشغيل,li-latshaghyl,0
safe,آمن,aamn,0
same,نفس,nafs,0
to save,للحفظ,li-lahfz,0
to say,ليقول,li-yaqwl,0
scene,مشهد,mashhd,0
school,مدرسة,madrsah,0
science,علوم,'lawm,0
score,نتيجة,natyjah,0
the sea,البحر,al-bahr,0
season,موسم,mawsm,0
the seat,المقعد,al-mq'd,0
second,ثانية,thanyah,0
the section,القسم,al-qasm,0
to see,لترى,li-tra,0
seek,يطلب,yatlb,0
to seem,ليبدو,li-yabdw,0
to sell,للبيع,li-laby',0
to send,لإرسال,li-irsal,0
the sense,المعنى,al-m'na,0
serious,جاد,jad,0
to serve,للخدمة,li-lakhdmah,0
to set,لتعيين,li-t'yayn,0
to seven,إلى سبعة,ila sb'ah,0
several,عديد,'dayd,0
to shake,يهز,yahz,0
shall,سوف,sawf,0
the shape,الشكل,al-sahkl,0
to share,للمشاركة,li-lamsharkah,0
she,هي,hy,0
the sheet,الورقة,al-warqah,0
shine,يشرق,yashrq,0
the ship,السفينة,al-safynah,0
the shirt,القميص,al-qamys,0
the shoe,الحذاء,al-hadha',0
shop,محل,mahl,0
short,قصير,qasyr,0
should,يجب,yajb,0
the shoulder,الكتف,al-katf,0
to show,لإظهار,li-izhar,0
the side,الجانب,al-janb,0
the sign,العلامة,al-'lamah,0
significant,بارِز,bariz,0
similar,مشابه,mashabh,0
simple,بسيط,basyt,0
since,منذ,mandh,0
to sing,للغناء,li-laghna',0
single,أعزب,a'zb,0
sir,سيد,sayd,0
the sister,الأخت,al-akaht,0
to sit,للجلوس,li-lajlws,0
site,موقع,mawq',0
the situation,الوضع,al-wd',0
six,ستة,stah,0
to size,إلى الحجم,ila al-hajm,0
skill,مهارة,mharah,0
the skin,الجلد,al-jald,0
the sky,السماء,al-sma',0
to sleep,للنوم,li-lanwm,0
slow,بطيء,baty',0
small,صغير,saghyr,0
to smile,لتبتسم,li-tabtsm,0
to smoke,للتدخين,li-latdkahyn,0
the snow,الثلج,al-tahlj,0
so,لذا,li-dha,0
social,اجتماعي,ajatma'y,0
the society,المجتمع,al-majtm',0
the soft,الناعمة,al-na'mah,0
some,بعض,b'd,0
someone,شخص ما,sahkhs ma,0
something,شئ ما,sahy ma,0
sometimes,أحيانا,ahyana,0
the son,الابن,al-abn,0
the song,الأغنية,al-agahnyah,0
soon,قريباً,qarybaan,0
sorry,آسف,aasf,0
the sort,النوع,al-nw',0
the sound,الصوت,al-sawt,0
south,جنوب,janwb,0
the space,الفضاء,al-fda',0
to speak,للتحدث,li-lathdath,0
special,خاص,khas,0
specific,محدد,mahdd,0
speech,خطاب,kahtab,0
speed,سرعة,sr'ah,0
to spend,لقضاء,li-qda',0
sport,رياضة,ryadah,0
spot,بقعة,bq'ah,0
spread,الانتشار,al-anatshar,0
the spring,الربيع,al-raby',0
the square,الساحة,al-sahah,0
to stand,للوقوف,li-lawqwf,0
standard,معيار,m'yar,0
the star,النجم,al-najm,0
to start,للبدء,li-labd',0
to state,للدولة,li-ladwlah,0
the station,المحطة,al-mahtah,0
to stay,للبقاء,li-labqa',0
the step,الخطوة,al-kahtwah,0
to stick,التمسك,al-tamsk,0
still,ما زال,ma zal,0
the stone,الحجر,al-hajr,0
to stop,للتوقف,li-latwqf,0
the store,المتجر,al-matjr,0
the story,القصة,al-qsah,0
straight,مستقيم,mastqaym,0
strange,غريب,gahryb,0
the street,الشارع,al-shar',0
strong,قوي,qawy,0
student,طالب,talb,0
to study,للدراسة,li-ladrasah,0
stuff,أشياء,asahya',0
style,أسلوب,asalwb,0
subject,موضوع,mawdw',0
to succeed,لتحقيق النجاح,li-tahqyq al-njah,0
such,هذه,hadhh,0
to sudden,فجأة,fjaah,0
to suggest,لاقتراح,li-aqatrah,0
suit,بدلة,badlah,0
the summer,الصيف,al-sayf,0
the sun,الشمس,al-sahms,0
to supply,لتوريد,li-tawryd,0
to support,لدعم,li-d'm,0
to suppose,لنفترض,li-naftrd,0
sure,بالتأكيد,baltakayd,0
surface,سطح,sath,0
to surprise,للمفاجأة,li-lamfajaah,0
sweet,حلو,halw,0
the table,الطاولة,al-tawlah,0
to take,لاتخاذ,li-atakhadh,0
to talk,للتحدث,li-lathdath,0
tall,طويل,tawyl,0
the taste,الطعم,al-t'm,0
the tax,الضريبة,al-darybah,0
to teach,للتدريس,li-latdrays,0
team,فريق,faryq,0
to tell,ليقول,li-yaqwl,0
to ten,إلى عشرة,ila 'sahrah,0
term,شرط,sahrt,0
the test,الاختبار,al-akahtbar,0
than,من,mn,0
thank,شكر,sahkr,0
that,الذي - التي,al-dahy - al-ty,0
the,ال,al-,0
their,هُم,hum,0
them,هم,hm,0
to then,الى ذلك الحين,al-a dahlk al-hayn,0
there,هناك,hnak,0
these,هؤلاء,hؤla',0
they,هم,hm,0
thick,سميك,samyk,0
thin,رفيع,rafy',0
the thing,الشيء,al-sahy',0
to think,للتفكير,li-latfkayr,0
third,ثالث,thalath,0
this,هذا,hadha,0
those,أولئك,awalyk,0
though,رغم ذلك,raghm dahlk,0
the thought,الفكر,al-fakr,0
thousand,ألف,al-f,0
three,ثلاثة,tahlathah,0
through,خلال,kahlal,0
to throw,لرمي,li-ramy,0
thus,هكذا,hakdha,0
the tie,ربطة العنق,rabtah al-'nq,0
the time,الوقت,al-waqt,0
tiny,صغير الحجم,saghyr al-hajm,0
tire,الإطارات,al-itarat,0
to,ل,l,0
today,اليوم,al-yawm,0
the together,معا,m'a,0
tomorrow,غداً,gahdaan,0
tone,نغمة,naghmah,0
tongue,لسان,li-san,0
too,أيضاً,aydaan,0
tool,أداة,adaah,0
the tooth,السن,al-sn,0
the top,القمة,al-qmah,0
total,المجموع,al-majmw',0
to touch,للمس,li-lams,0
toward,نحو,nahw,0
the town,المدينة,al-madynah,0
track,مسار,msar,0
the trade,التجارة,al-tjarah,0
to train,لتدريب,li-tadryb,0
to travel,للسفر,li-lasfr,0
the tree,الشجرة,al-sahjrah,0
trial,محاكمة,mhakmah,0
trip,رحلة,rahlah,0
the trouble,المشكلة,al-mashklah,0
true,حقيقي,haqyqy,0
trust,يثق,yathq,0
truth,حقيقة,haqyqah,0
to try,لمحاولة,li-mhawlah,0
to turn,لتحويل,li-tahwyl,0
twelve,اثني عشر,atahny 'sahr,0
twenty,عشرين,'sahryn,0
two,اثنين,atahnyn,0
type,يكتب,yaktb,0
the under,تحت,taht,0
to understand,لفهم,li-fahm,0
the unit,الوحدة,al-wahdah,0
until,حتى,hta,0
up,أعلى,a'la,0
upon,على,'la,0
to use,للاستخدام,li-lasatkhdam,0
usual,المعتاد,al-m'tad,0
the value,القيمة,al-qaymah,0
various,متنوع,matnw',0
very,جداً,jdaan,0
the view,المنظر,al-manzr,0
village,قرية,qaryah,0
to visit,لزيارة,li-zyarah,0
the voice,الصوت,al-sawt,0
to wait,للانتظار,li-lanatzar,0
to walk,للمشي,li-lamshy,0
the wall,الجدار,al-jdar,0
to want,تريد,taryd,0
the war,الحرب,al-harb,0
warm,دافيء,dafy',0
to warn,للتحذير,li-lathdahyr,0
to wash,ليغسل,li-yaghsl,0
to watch,للمشاهدة,li-lamshahdah,0
the water,الماء,al-ma',0
the wave,الموجة,al-mawjah,0
the way,الطريق,al-taryq,0
we,نحن,nahn,0
weak,ضعيف,d'yf,0
wealth,ثروة,tahrwah,0
to wear,لارتداء,li-aratda',0
the weather,الطقس,al-taqs,0
the week,الاسبوع,al-asabw',0
the weight,الوزن,al-wazn,0
welcome,مرحباً,marhbaan,0
well,حسنًا,hasnana,0
west,الغرب,al-gahrb,0
what,ماذا,madha,0
to when,الى متى,al-a mta,0
where,أين,ayn,0
the whether,سواء,swa',0
which,أيّ,ay,0
while,بينما,baynma,0
white,أبيض,abayd,0
who,من,mn,0
whole,جميع,jamy',0
whom,مَن,man,0
whose,لمن,li-mn,0
why,لماذا,li-madha,0
wide,واسع,was',0
wife,زوجة,zawjah,0
wild,بري,bary,0
will,سوف,sawf,0
to win,للفوز,li-lafwz,0
wind,رياح,ryah,0
