English,Translation,,Similar
collect,recolectar,,0
the color,el color,,0
to come,venir,,0
common,común,,1
complete,completo,,1
the computer,la computadora,,0
the condition,la condición,,0
to consider,considerar,,1
contain,contener,,1
to continue,continuar,,1
the control,el control,,0
the cook,el cocinero,,0
cool,Frío,,0
the copy,la copia,,0
the corner,la esquina,,0
correct,correcto,,1
the cost,el costo,,0
could,podría,,0
count,contar,,0
the country,el pais,,0
the course,el curso,,0
the cover,la portada,,0
to create,crear,,1
the cross,la cruz,,0
the cry,el llanto,,0
the cup,la copa,,0
the current,la corriente,,0
cut,cortar,,0
dad,papá,,0
the danger,el peligro,,0
the dark,la oscuridad,,0
to date,hasta la fecha,,0
the daughter,la hija,,0
the day,el dia,,0
dead,muerto,,0
deal,trato,,0
dear,estimado,,0
to decide,decidir,,1
deep,profundo,,0
the degree,el grado,,0
depend,depender,,1
to describe,describir,,1
desert,desierto,,1
the design,el diseño,,0
the desk,el escritorio,,0
to develop,desarrollar,,0
to die,morir,,0
difference,diferencia,,0
different,diferente,,0
difficult,difícil,,0
the dinner,la cena,,0
the direction,la dirección,,0
to discover,descubrir,,0
to discuss,discutir,,1
the disease,la enfermedad,,0
the distance,la distancia,,0
divide,dividir,,1
to do,hacer,,0
the doctor,el doctor,,0
the dog,el perro,,0
the door,la puerta,,0
double,doble,,0
down,abajo,,0
to draw,dibujar,,0
dream,sueño,,0
the dress,el vestido,,0
to drink,beber,,0
to drive,conducir,,0
the drop,la gota,,0
dry,seco,,0
during,durante,,1
each,cada,,0
the ear,la oreja,,0
early,temprano,,0
the earth,la tierra,,0
east,este,,0
easy,fácil,,0
to eat,comer,,0
the edge,el borde,,0
the effect,el efecto,,0
the egg,el huevo,,0
eight,ocho,,0
the either,el cualquiera,,0
electric,eléctrico,,0
else,demás,,0
to end,terminar,,0
enemy,enemigo,,1
the energy,la energía,,0
to enjoy,disfrutar,,0
enough,suficiente,,0
to enter,entrar,,1
entire,completo,,0
equal,igual,,0
especially,especialmente,,1
to even,para igualar,,0
evening,noche,,0
the event,el evento,,0
the ever,el siempre,,0
every,cada,,0
everyone,todos,,0
everything,todo,,0
exact,exacto,,1
the example,el ejemplo,,0
except,excepto,,1
excite,excitar,,1
to exercise,hacer ejercicio,,0
expect,esperar,,0
expensive,caro,,0
the experience,la experiencia,,0
to explain,explicar,,1
express,expresar,,1
the eye,el ojo,,0
the face,la cara,,0
the fact,el hecho,,0
fail,fallar,,0
to fall,caer,,0
false,FALSO,,1
the family,la familia,,0
famous,famoso,,1
far,lejos,,0
the farm,la granja,,0
fast,rápido,,0
the father,el padre,,0
the fear,el miedo,,0
to feel,sentir,,0
feet,pies,,0
few,pocos,,0
the field,el campo,,0
fight,luchar,,0
figure,cifra,,0
fill,llenar,,0
film,película,,0
final,final,,1
to find,encontrar,,0
fine,bien,,0
the finger,el dedo,,0
to finish,terminar,,0
the fire,el fuego,,0
first,primero,,0
the fish,el pez,,0
fit,adaptar,,0
five,cinco,,0
fix,arreglar,,0
flat,departamento,,0
the floor,el piso,,0
flow,fluir,,0
the flower,la flor,,0
the fly,la mosca,,0
to follow,seguir,,0
the food,la comida,,0
the foot,el pie,,0
the for,el para,,0
the force,la fuerza,,0
foreign,extranjero,,0
forest,bosque,,0
to forget,olvidar,,0
the form,la forma,,0
forward,adelante,,0
four,cuatro,,0
free,gratis,,0
fresh,fresco,,1
the friend,el amigo,,0
from,de,,0
the front,el frente,,0
full,lleno,,0
the fun,la diversion,,0
game,juego,,0
to garden,al jardín,,0
gas,gas,,0
general,general,,1
to get,Llegar,,0
the girl,la chica,,0
to give,dar,,0
the glass,el vaso,,0
to go,ir,,0
god,dios,,0
the gold,el oro,,0
good,bien,,0
the government,el gobierno,,0
the grass,la hierba,,0
great,excelente,,0
to green,a verde,,0
ground,suelo,,0
the group,el grupo,,0
to grow,crecer,,0
guess,adivinar,,0
the gun,el arma,,0
the hair,el pelo,,0
the half,la mitad,,0
the hand,la mano,,0
to happen,suceder,,0
happy,feliz,,0
hard,duro,,0
to have,tener,,0
he,él,,0
the head,la cabeza,,0
the health,la salud,,0
to hear,escuchar,,0
the heart,el corazon,,0
the heat,el calor,,0
heavy,pesado,,0
to help,para ayudar,,0
the her,la ella,,0
here,aquí,,0
the high,el alto,,0
hill,colina,,0
him,a él,,0
his,su,,0
the history,la historia,,0
hit,golpear,,0
to hold,sostener,,0
the hole,el agujero,,0
the home,el hogar,,0
to hope,tener esperanza,,0
the horse,el caballo,,0
hot,caliente,,0
the hour,la hora,,0
the house,la casa,,0
how,cómo,,0
the however,el sin embargo,,0
human,humano,,1
hundred,centenar,,0
husband,marido,,0
the idea,la idea,,0
to identify,identificar,,1
if,si,,0
image,imagen,,1
imagine,imaginar,,1
important,importante,,1
improve,mejorar,,0
in,en,,0
to include,incluir,,1
to increase,aumentar,,0
indeed,en efecto,,0
to indicate,indicar,,1
individual,individual,,1
the industry,la industria,,0
the information,la información,,0
inside,adentro,,0
instead,en cambio,,0
the interest,el interés,,0
into,en,,0
to introduce,presentar,,0
invest,invertir,,1
involve,involucrar,,1
the iron,el hierro,,0
the island,la isla,,0
issue,asunto,,0
it,él,,0
job,trabajo,,0
to join,unirse,,0
just,justo,,1
to keep,mantener,,0
the key,la clave,,0
kid,niño,,0
to kill,matar,,0
kind,amable,,0
king,rey,,0
to kitchen,a la cocina,,0
to know,saber,,0
the land,la tierra,,0
the language,el idioma,,0
large,grande,,0
last,último,,0
to late,demasiado tarde,,0
to laugh,reír,,0
the law,la ley,,0
lay,poner,,0
the lead,el líder,,0
to learn,aprender,,0
least,el menos,,0
to leave,dejar,,0
left,izquierda,,0
the leg,la pierna,,0
length,longitud,,0
less,menos,,0
to let,dejar,,0
the letter,la carta,,0
the level,el nivel,,0
to lie,mentir,,0
life,vida,,0
the light,la luz,,0
to like,gustar,,0
likely,probable,,0
the line,la linea,,0
the list,la lista,,0
to listen,escuchar,,0
little,pequeño,,0
to live,vivir,,0
local,local,,1
long,largo,,0
to look,mirar,,0
to lose,perder,,0
the loss,la perdida,,0
lot,lote,,0
to love,amar,,0
low,bajo,,0
the machine,la maquina,,0
main,principal,,0
to make,hacer,,0
the man,el hombre,,0
many,muchos,,0
the map,el mapa,,0
the mark,la marca,,0
the market,el mercado,,0
marry,casarse,,0
the matter,el asunto,,0
may,puede,,0
maybe,tal vez,,0
me,a mí,,0
to mean,significar,,0
the measure,la medida,,0
the meat,la carne,,0
to meet,encontrarse,,0
the member,el miembro,,0
the memory,la memoria,,0
the mention,la mención,,0
method,método,,0
the middle,el medio,,0
might,podría,,0
mile,milla,,1
the milk,la leche,,0
the mind,la mente,,0
the minute,el minuto,,0
miss,extrañar,,0
model,modelo,,1
the moment,el momento,,0
the money,el dinero,,0
the month,el mes,,0
more,más,,0
the morning,la mañana,,0
most,mayoría,,0
the mother,la madre,,0
the mouth,la boca,,0
to move,moverse,,1
much,mucho,,1
the music,la musica,,0
must,debe,,0
the name,el nombre,,0
the nation,la nación,,0
natural,natural,,1
nature,naturaleza,,1
near,cerca,,0
nearly,cerca de,,0
necessary,necesario,,1
to need,necesitar,,0
the never,el nunca,,0
new,nuevo,,0
the news,la noticia,,0
next,próximo,,0
nice,lindo,,0
the night,la noche,,0
nine,nueve,,0
no,No,,0
none,ninguno,,0
normal,normal,,1
north,norte,,1
the nose,la nariz,,0
not,no,,0
the note,la nota,,0
nothing,nada,,0
to notice,darse cuenta,,0
now,ahora,,0
the number,el numero,,0
occur,ocurrir,,0
ocean,océano,,0
of,de,,0
off,apagado,,0
to offer,ofrecer,,0
the office,la oficina,,0
to often,a menudo,,0
the oil,el aceite,,0
old,viejo,,0
on,en,,0
once,una vez,,0
one,uno,,0
only,solo,,0
to open,abrir,,0
to operate,operar,,1
the opportunity,la oportunidad,,0
the or,el o,,0
to order,ordenar,,1
to organize,organizar,,1
the other,el otro,,0
our,nuestro,,0
out,afuera,,0
outside,afuera,,0
the over,el final,,0
to own,poseer,,0
the owner,el dueño,,0
the page,la pagina,,0
the paint,la pintura,,0
pair,par,,0
the paper,el papel,,0
parent,padre,,0
the part,la parte,,0
particular,particular,,1
party,fiesta,,0
to pass,pasar,,1
past,pasado,,1
path,camino,,0
patient,paciente,,0
pattern,patrón,,1
to pay,pagar,,0
the peace,la paz,,0
people,gente,,0
the per,el por,,0
perform,llevar a cabo,,0
perhaps,tal vez,,0
period,período,,1
the person,la persona,,0
personal,personal,,1
phone,teléfono,,0
photo,foto,,0
to pick,escoger,,0
the picture,la foto,,0
piece,pedazo,,0
the place,el lugar,,0
plan,plan,,1
the plant,la planta,,0
to play,jugar,,0
please,por favor,,0
the point,el punto,,0
police,policía,,1
policy,política,,1
the poor,los pobres,,0
popular,popular,,1
the position,la posición,,0
possible,posible,,0
post,correo,,0
the power,el poder,,0
practice,práctica,,0
to prepare,preparar,,1
to present,presentar,,1
press,prensa,,1
pretty,bonito,,0
to prevent,para prevenir,,0
the price,el precio,,0
probably,probablemente,,1
problem,problema,,1
the process,el proceso,,0
to produce,producir,,1
product,producto,,1
program,programa,,1
project,proyecto,,0
to promise,prometer,,1
prove,probar,,1
to provide,proporcionar,,0
public,público,,0
to pull,tirar,,0
the purpose,el propósito,,0
to push,empujar,,0
to put,poner,,0
the quality,la nobleza,,0
the question,la pregunta,,0
quick,rápido,,0
the quiet,el silencio,,0
quite,bastante,,0
race,carrera,,0
radio,radio,,1
the rain,la lluvia,,0
to raise,elevar,,0
the range,el rango,,0
to rate,calificar,,0
the rather,el más bien,,0
to reach,alcanzar,,0
to read,leer,,0
ready,listo,,0
real,real,,1
to realize,darse cuenta,,0
really,en realidad,,0
the reason,la razón,,0
to receive,recibir,,0
recent,reciente,,1
to recognize,reconocer,,1
to record,grabar,,0
red,rojo,,0
to reduce,reducir,,1
the refer,la referencia,,0
reflect,reflejar,,1
region,región,,1
to relate,relacionarse,,1
the religion,la religión,,0
remain,permanecer,,0
to remember,recordar,,0
to remove,quitar,,0
to report,informar,,0
to represent,representar,,1
to require,requerir,,1
research,investigación,,0
resource,recurso,,0
respond,responder,,1
the rest,el resto,,0
result,resultado,,1
to return,regresar,,0
reveal,revelar,,1
rich,rico,,1
right,bien,,0
to ring,sonar,,0
to rise,levantarse,,0
the river,el río,,0
the road,el camino,,0
rock,roca,,1
role,role,,1
the room,la habitación,,0
the rule,la regla,,0
to run,correr,,0
safe,seguro,,0
same,mismo,,0
to save,guardar,,0
to say,decir,,0
scene,escena,,0
school,escuela,,0
science,ciencia,,0
score,puntaje,,0
the sea,el mar,,0
season,estación,,0
the seat,el asiento,,0
second,segundo,,0
the section,la sección,,0
to see,ver,,0
seek,buscar,,0
to seem,parecer,,0
to sell,vender,,0
to send,enviar,,0
the sense,el sentido,,0
serious,grave,,0
to serve,servir,,1
to set,establecer,,0
to seven,a siete,,0
several,varios,,0
to shake,sacudir,,0
shall,deber,,0
the shape,la forma,,0
to share,compartir,,0
she,ella,,0
the sheet,la hoja,,0
shine,brillar,,0
the ship,el barco,,0
the shirt,la camisa,,0
the shoe,el zapato,,0
shop,comercio,,0
short,corto,,0
should,debería,,0
the shoulder,el hombro,,0
to show,mostrar,,0
the side,el lado,,0
the sign,el signo,,0
significant,significativo,,1
similar,similar,,1
simple,simple,,1
since,desde,,0
to sing,cantar,,0
single,soltero,,0
sir,Señor,,0
the sister,la hermana,,0
to sit,sentarse,,0
site,sitio,,1
the situation,la situación,,0
six,seis,,0
to size,al tamaño,,0
skill,habilidad,,0
the skin,la piel,,0
the sky,el cielo,,0
to sleep,dormir,,0
slow,lento,,0
small,pequeño,,0
to smile,sonreír,,0
to smoke,fumar,,0
the snow,la nieve,,0
so,entonces,,0
social,social,,1
the society,la sociedad,,0
the soft,el suave,,0
some,alguno,,0
someone,alguien,,0
something,algo,,0
sometimes,a veces,,0
the son,el hijo,,0
the song,la cancion,,0
soon,pronto,,0
sorry,Lo siento,,0
the sort,el tipo,,0
the sound,el sonido,,0
south,sur,,0
the space,el espacio,,0
to speak,hablar,,0
special,especial,,0
specific,específico,,0
speech,discurso,,0
speed,velocidad,,0
to spend,gastar,,0
sport,deporte,,0
spot,lugar,,0
spread,desparramar,,0
the spring,la primavera,,0
the square,la plaza,,0
to stand,estar de pie,,0
standard,estándar,,0
the star,la estrella,,0
to start,para empezar,,0
to state,declarar,,0
the station,la estacion,,0
to stay,quedarse,,0
the step,el paso,,0
to stick,pegarse,,0
still,aún,,0
the stone,la piedra,,0
to stop,parar,,0
the store,la tienda,,0
the story,la historia,,0
straight,derecho,,0
strange,extraño,,0
the street,la calle,,0
strong,fuerte,,0
student,alumno,,0
to study,estudiar,,0
stuff,cosa,,0
style,estilo,,0
subject,sujeto,,0
to succeed,tener éxito,,0
such,semejante,,0
to sudden,a repentino,,0
to suggest,sugerir,,0
suit,traje,,0
the summer,el verano,,0
the sun,el sol,,0
to supply,suministrar,,0
to support,apoyar,,0
to suppose,suponer,,0
sure,seguro,,0
surface,superficie,,0
to surprise,sorprender,,0
sweet,dulce,,0
the table,la mesa,,0
to take,tomar,,0
to talk,hablar,,0
tall,alto,,0
the taste,el sabor,,0
the tax,el impuesto,,0
to teach,enseñar,,0
team,equipo,,0
to tell,decir,,0
to ten,a diez,,0
term,término,,0
the test,la prueba,,0
than,que,,0
thank,agradecer,,0
that,eso,,0
the,el,,0
their,su,,0
them,a ellos,,0
to then,hasta entonces,,0
there,allá,,0
these,estos,,0
they,ellos,,0
thick,grueso,,0
thin,delgado,,0
the thing,la cosa,,0
to think,pensar,,0
third,tercero,,0
this,este,,0
those,aquellos,,0
though,aunque,,0
the thought,el pensamiento,,0
thousand,mil,,0
three,tres,,0
through,a través de,,0
to throw,tirar,,0
thus,de este modo,,0
the tie,la corbata,,0
the time,el tiempo,,0
tiny,diminuto,,0
tire,neumático,,0
to,a,,0
today,hoy,,0
the together,los juntos,,0
tomorrow,mañana,,0
tone,tono,,1
tongue,lengua,,0
too,también,,0
tool,herramienta,,0
the tooth,el diente,,0
the top,la parte superior,,0
total,total,,1
to touch,tocar,,0
toward,hacia,,0
the town,la ciudad,,0
track,pista,,0
the trade,el comercio,,0
to train,entrenar,,0
to travel,viajar,,0
the tree,el arbol,,0
trial,ensayo,,0
trip,viaje,,0
the trouble,el problema,,0
true,verdadero,,0
trust,confianza,,0
truth,verdad,,0
to try,intentarlo,,0
to turn,girar,,0
twelve,doce,,0
twenty,veinte,,0
two,dos,,0
type,tipo,,0
the under,el debajo,,0
to understand,entender,,0
the unit,la unidad,,0
until,hasta,,0
up,arriba,,0
upon,al,,0
to use,usar,,0
usual,habitual,,0
the value,el valor,,0
various,varios,,1
very,muy,,0
the view,la vista,,0
village,aldea,,0
to visit,visitar,,1
the voice,la voz,,0
to wait,esperar,,0
to walk,caminar,,0
the wall,la pared,,0
to want,querer,,0
the war,la guerra,,0
warm,cálido,,0
to warn,advertir,,0
to wash,lavar,,0
to watch,mirar,,0
the water,el agua,,0
the wave,la ola,,0
the way,el camino,,0
we,nosotros,,0
weak,débil,,0
wealth,poder,,0
to wear,usar,,0
the weather,El clima,,0
the week,la semana,,0
the weight,el peso,,0
welcome,bienvenido,,0
well,Bueno,,0
west,Oeste,,0
what,qué,,0
to when,hasta cuando,,0
where,dónde,,0
the whether,el si,,0
which,cual,,0
while,mientras,,0
white,blanco,,0
who,OMS,,0
whole,entero,,0
whom,a quien,,0
whose,cuyo,,0
why,por qué,,0
wide,ancho,,0
wife,esposa,,0
wild,salvaje,,0
will,voluntad,,0
to win,ganar,,0
wind,viento,,0
the window,la ventana,,0
the wine,el vino,,0
the wing,el ala,,0
the winter,el invierno,,0
the wire,el alambre,,0
to wise,a sabio,,0
to wish,desear,,0
with,con,,0
within,dentro,,0
without,sin,,0
the woman,la mujer,,0
the wonder,la maravilla,,0
the wood,la madera,,0
to work,trabajar,,0
world,mundo,,0
to worry,preocuparse,,0
worth,valer,,0
would,quería,,0
to write,escribir,,0
wrong,equivocado,,0
yard,patio,,0
yeah,sí,,0
the year,el año,,0
yes,Sí,,0
yet,todavía,,0
you,tú,,0
young,joven,,0
your,su,,0
