English,Translation,,Similar
the paper,o papel,,0
parent,pai,,0
the part,a parte,,0
particular,especial,,0
party,festa,,0
to pass,passar,,1
past,passado,,1
path,caminho,,0
patient,paciente,,0
pattern,padrão,,0
to pay,pagar,,0
the peace,a paz,,0
people,pessoas,,0
the per,o por,,0
perform,executar,,0
perhaps,talvez,,0
period,período,,1
the person,a pessoa,,0
personal,pessoal,,0
phone,telefone,,0
photo,foto,,0
to pick,escolher,,0
the picture,a imagem,,0
piece,pedaço,,0
the place,o lugar,,0
plan,plano,,1
the plant,a planta,,0
to play,jogar,,0
please,por favor,,0
the point,o ponto,,0
police,polícia,,1
policy,política,,1
the poor,os pobres,,0
popular,popular,,1
the position,a posição,,0
possible,possível,,1
post,publicar,,0
the power,o poder,,0
practice,prática,,0
to prepare,preparar,,1
to present,apresentar,,0
press,imprensa,,0
pretty,bonito,,0
to prevent,para prevenir,,0
the price,o preço,,0
probably,provavelmente,,0
problem,problema,,1
the process,o processo,,0
to produce,produzir,,1
product,produto,,1
program,programa,,1
project,projeto,,1
to promise,prometer,,1
prove,provar,,1
to provide,para fornecer,,0
public,público,,0
to pull,puxar,,0
the purpose,o objetivo,,0
to push,empurrar,,0
to put,colocar,,0
the quality,a qualidade,,0
the question,a pergunta,,0
quick,rápido,,0
the quiet,o silêncio,,0
quite,bastante,,0
race,corrida,,0
radio,rádio,,0
the rain,a chuva,,0
to raise,aumentar,,0
the range,o intervalo,,0
to rate,avaliar,,0
the rather,o bastante,,0
to reach,alcançar,,0
to read,ler,,0
ready,preparar,,0
real,real,,1
to realize,constatar,,0
really,realmente,,1
the reason,a razão,,0
to receive,receber,,1
recent,recente,,1
to recognize,reconhecer,,1
to record,gravar,,0
red,vermelho,,0
to reduce,reduzir,,1
the refer,a referência,,0
reflect,refletir,,1
region,região,,1
to relate,relacionar,,1
the religion,a religião,,0
remain,permanecer,,0
to remember,lembrar,,0
to remove,remover,,1
to report,relatar,,0
to represent,representar,,1
to require,exigir,,0
research,pesquisar,,0
resource,recurso,,0
respond,responder,,1
the rest,o resto,,0
result,resultado,,1
to return,voltar,,0
reveal,revelar,,1
rich,rico,,1
right,certo,,0
to ring,tocar,,0
to rise,subir,,0
the river,o rio,,0
the road,a estrada,,0
rock,pedra,,0
role,papel,,0
the room,o quarto,,0
the rule,a regra,,0
to run,correr,,0
safe,seguro,,0
same,mesmo,,0
to save,para salvar,,0
to say,dizer,,0
scene,cena,,0
school,escola,,0
science,ciência,,0
score,pontuação,,0
the sea,o mar,,0
season,temporada,,0
the seat,o assento,,0
second,segundo,,0
the section,a seção,,0
to see,ver,,0
seek,procurar,,0
to seem,parecer,,0
to sell,vender,,0
to send,enviar,,0
the sense,o sentido,,0
serious,sério,,0
to serve,servir,,1
to set,definir,,0
to seven,às sete,,0
several,diversos,,0
to shake,agitar,,0
shall,podemos,,0
the shape,a forma,,0
to share,compartilhar,,0
she,ela,,0
the sheet,a folha,,0
shine,brilhar,,0
the ship,o navio,,0
the shirt,a camisa,,0
the shoe,o sapato,,0
shop,comprar,,0
short,curto,,0
should,deve,,0
the shoulder,o ombro,,0
to show,mostrar,,0
the side,o lado,,0
the sign,o sinal,,0
significant,significativo,,1
similar,semelhante,,0
simple,simples,,1
since,desde,,0
to sing,cantar,,0
single,solteiro,,0
sir,senhor,,0
the sister,a irmã,,0
to sit,sentar,,0
site,site,,1
the situation,a situação,,0
six,seis,,0
to size,dimensionar,,0
skill,habilidade,,0
the skin,a pele,,0
the sky,o céu,,0
to sleep,dormir,,0
slow,lento,,0
small,pequeno,,0
to smile,sorrir,,0
to smoke,fumar,,0
the snow,a neve,,0
so,então,,0
social,social,,1
the society,a sociedade,,0
the soft,o macio,,0
some,alguns,,0
someone,alguém,,0
something,algo,,0
sometimes,às vezes,,0
the son,o filho,,0
the song,a música,,0
soon,breve,,0
sorry,desculpe,,0
the sort,o tipo,,0
the sound,o som,,0
south,sul,,0
the space,o espaço,,0
to speak,falar,,0
special,especial,,0
specific,específico,,0
speech,discurso,,0
speed,velocidade,,0
to spend,gastar,,0
sport,esporte,,0
spot,ver,,0
spread,espalhar,,0
the spring,a primavera,,0
the square,a praça,,0
to stand,ficar de pé,,0
standard,padrão,,0
the star,a estrela,,0
to start,para começar,,0
to state,declarar,,0
the station,a estação,,0
to stay,ficar,,0
the step,o passo,,0
to stick,colar,,0
still,ainda,,0
the stone,a pedra,,0
to stop,parar,,0
the store,a loja,,0
the story,a história,,0
straight,direto,,0
strange,estranho,,0
the street,a rua,,0
strong,forte,,0
student,estudante,,0
to study,estudar,,0
stuff,coisa,,0
style,estilo,,0
subject,assunto,,0
to succeed,ter sucesso,,0
such,tal,,0
to sudden,de repente,,0
to suggest,sugerir,,0
suit,terno,,0
the summer,o verão,,0
the sun,o sol,,0
to supply,fornecer,,0
to support,apoiar,,0
to suppose,supor,,1
sure,claro,,0
surface,superfície,,0
to surprise,surpreender,,1
sweet,doce,,0
the table,a mesa,,0
to take,levar,,0
to talk,conversar,,0
tall,alto,,0
the taste,o sabor,,0
the tax,o imposto,,0
to teach,ensinar,,0
team,equipe,,0
to tell,contar,,0
to ten,às dez,,0
term,prazo,,0
the test,o teste,,0
than,que,,0
thank,agradecer,,0
that,que,,0
the,o,,0
their,deles,,0
them,eles,,0
to then,até então,,0
there,lá,,0
these,esses,,0
they,eles,,0
thick,espesso,,0
thin,afinar,,0
the thing,a coisa,,0
to think,pensar,,0
third,terceiro,,0
this,esse,,0
those,aqueles,,0
though,no entanto,,0
the thought,o pensamento,,0
thousand,mil,,0
three,três,,0
through,através,,0
to throw,jogar,,0
thus,por isso,,0
the tie,a gravata,,0
the time,a hora,,0
tiny,pequeno,,0
tire,pneu,,0
to,para,,0
today,hoje,,0
the together,os juntos,,0
tomorrow,amanhã,,0
tone,tom,,0
tongue,língua,,0
too,também,,0
tool,ferramenta,,0
the tooth,o dente,,0
the top,o topo,,0
total,total,,1
to touch,tocar,,0
toward,na direção,,0
the town,a cidade,,0
track,acompanhar,,0
the trade,o comércio,,0
to train,treinar,,0
to travel,viajar,,0
the tree,a árvore,,0
trial,julgamento,,0
trip,viagem,,0
the trouble,o problema,,0
true,verdadeiro,,0
trust,confiar,,0
truth,verdade,,0
to try,tentar,,0
to turn,virar,,0
twelve,doze,,0
twenty,vinte,,0
two,dois,,0
type,tipo,,0
the under,o inferior,,0
to understand,entender,,0
the unit,a unidade,,0
until,até,,0
up,acima,,0
upon,sobre,,0
to use,usar,,0
usual,habitual,,0
the value,o valor,,0
various,vários,,0
very,muito,,0
the view,a vista,,0
village,aldeia,,0
to visit,visitar,,1
the voice,a voz,,0
to wait,esperar,,0
to walk,caminhar,,0
the wall,a parede,,0
to want,querer,,0
the war,a guerra,,0
warm,esquentar,,0
to warn,avisar,,0
to wash,lavar,,0
to watch,assistir,,0
the water,a água,,0
the wave,a onda,,0
the way,o caminho,,0
we,nós,,0
weak,fraco,,0
wealth,fortuna,,0
to wear,vestir,,0
the weather,o clima,,0
the week,a semana,,0
the weight,o peso,,0
welcome,Bem-vindo,,0
well,bem,,0
west,oeste,,0
what,o que,,0
to when,para quando,,0
where,onde,,0
the whether,o se,,0
which,qual,,0
while,enquanto,,0
white,branco,,0
who,Quem,,0
whole,todo,,0
whom,a quem,,0
whose,cujo,,0
why,por que,,0
wide,largo,,0
wife,esposa,,0
wild,selvagem,,0
will,vai,,0
to win,vencer,,0
wind,vento,,0
the window,a janela,,0
the wine,o vinho,,0
the wing,a asa,,0
the winter,o inverno,,0
the wire,o fio,,0
to wise,ser sábio,,0
to wish,desejar,,0
with,com,,0
within,dentro de,,0
without,sem,,0
the woman,a mulher,,0
the wonder,a maravilha,,0
the wood,a madeira,,0
to work,trabalhar,,0
world,mundo,,0
to worry,se preocupar,,0
worth,valor,,0
would,seria,,0
to write,escrever,,0
wrong,errado,,0
yard,quintal,,0
yeah,sim,,0
the year,o ano,,0
yes,sim,,0
yet,ainda,,0
you,você,,0
young,jovem,,0
your,seu,,0
