English,Translation,Transcription,Similar
the moment,그 순간,geu sungan,0
the money,돈,don,0
the month,달,dal,0
more,더,deo,0
the morning,아침,achim,0
most,최대,choedae,0
the mother,어머니,eomeoni,0
the mouth,입,ip,0
to move,움직이다,umjigida,0
much,많이,mani,0
the music,음악,eumak,0
must,~ 해야 하다,~ haeya hada,0
the name,이름,ireum,0
the nation,국가,gukga,0
natural,자연스러운,jayeonseureoun,0
nature,자연,jayeon,0
near,가까운,gakkaun,0
nearly,거의,geoui,0
necessary,필요한,piryohan,0
to need,필요하다,piryohada,0
the never,결코,gyeolko,0
new,새로운,saeroun,0
the news,뉴스,nyuseu,0
next,다음,daeum,0
nice,멋진,meotjin,0
the night,밤,bam,0
nine,아홉,ahop,0
no,아니요,aniyo,0
none,없음,eopseum,0
normal,정상,jeongsang,0
north,북쪽,bukjjok,0
the nose,코,ko,0
not,~ 아니다,~ anida,0
the note,메모,memo,0
nothing,아무것도 아님,amugeotdo anim,0
to notice,알아차리다,aracharida,0
now,지금,jigeum,0
the number,숫자,sutja,0
occur,발생하다,balsaenghada,0
ocean,대양,daeyang,0
of,~의,~ui,0
off,끄다,kkeuda,0
to offer,제안하다,jeanhada,0
the office,사무실,samusil,0
to often,자주,jaju,0
the oil,기름,gireum,0
old,오래된,oraedoen,0
on,~에,~e,0
once,한 번,han beon,0
one,하나,hana,0
only,오직,ojik,0
to open,열다,yeolda,0
to operate,작동하다,jakdonghada,0
the opportunity,기회,gihoe,0
the or,또는,ttoneun,0
to order,주문하다,jumunhada,0
to organize,조직하다,jojikhada,0
the other,다른 하나,dareun hana,0
our,우리의,uriui,0
out,밖으로,bakkeuro,0
outside,밖의,bakkui,0
the over,이상,isang,0
to own,소유하다,soyuhada,0
the owner,소유자,soyuja,0
the page,페이지,peiji,0
the paint,페인트,peinteu,0
pair,쌍,ssang,0
the paper,종이,jongi,0
parent,조상,josang,0
the part,그 부분,geu bubun,0
particular,특정한,teukjeonghan,0
party,파티,pati,0
to pass,통과하다,tonggwahada,0
past,과거,gwageo,0
path,길,gil,0
patient,인내심 있는,innaesim itneun,0
pattern,무늬,munui,0
to pay,지불하다,jibulhada,0
the peace,평화,pyeonghwa,0
people,사람들,saramdeul,0
the per,당,dang,0
perform,공연하다,gongyeonhada,0
perhaps,아마도,amado,0
period,기간,gigan,0
the person,사람,saram,0
personal,개인의,gaeinui,0
phone,핸드폰,haendeupon,0
photo,사진,sajin,0
to pick,고르다,goreuda,0
the picture,그림,geurim,0
piece,조각,jogak,0
the place,장소,jangso,0
plan,계획,gyehoek,0
the plant,식물,sikmul,0
to play,놀다,nolda,0
please,제발,jebal,0
the point,요점,yojeom,0
police,경찰,gyeongchal,0
policy,정책,jeongchaek,0
the poor,가난한 사람들,gananhan saramdeul,0
popular,인기 있는,ingi itneun,0
the position,위치,wichi,0
possible,가능한,ganeunghan,0
post,우편,upyeon,0
the power,힘,him,0
practice,관행,gwanhaeng,0
to prepare,준비하다,junbihada,0
to present,발표하다,balpyohada,0
press,누르다,nureuda,0
pretty,예쁜,yeppeun,0
to prevent,방지하기 위해,bangjihagi wihae,0
the price,가격,gagyeok,0
probably,아마,ama,0
problem,문제,munje,0
the process,과정,gwajeong,0
to produce,생산하다,saengsanhada,0
product,제품,jepum,0
program,프로그램,peurogeuraem,0
project,프로젝트,peurojekteu,0
to promise,약속하다,yaksokhada,0
prove,입증하다,ipjeunghada,0
to provide,제공하다,jegonghada,0
public,공공의,gonggongui,0
to pull,당기다,danggida,0
the purpose,목적,mokjeok,0
to push,밀다,milda,0
to put,넣다,neota,0
the quality,품질,pumjil,0
the question,질문,jilmun,0
quick,빠른,ppareun,0
the quiet,조용한,joyonghan,0
quite,상당히,sangdanghi,0
race,경주,gyeongju,0
radio,라디오,radio,0
the rain,비,bi,0
to raise,키우다,kiuda,0
the range,범위,beomwi,0
to rate,평가하다,pyeonggahada,0
the rather,오히려,ohiryeo,0
to reach,도달하다,dodalhada,0
to read,읽기,ikgi,0
ready,준비가 된,junbiga doen,0
real,진짜,jinjja,0
to realize,깨닫다,kkaedatda,0
really,정말,jeongmal,0
the reason,이유,iyu,0
to receive,받다,batda,0
recent,최근의,choegeunui,0
to recognize,인식하다,insikhada,0
to record,녹음하다,nogeumhada,0
red,빨간색,ppalgansaek,0
to reduce,줄이기 위해,jurigi wihae,0
the refer,추천,chucheon,0
reflect,반영하다,banyeonghada,0
region,지역,jiyeok,0
to relate,관련시키다,gwanryeonsikida,0
the religion,종교,jonggyo,0
remain,유지하다,yujihada,0
to remember,기억하다,gieokhada,0
to remove,제거하다,jegeohada,0
to report,보고하다,bogohada,0
to represent,대표하다,daepyohada,0
to require,요구하다,yoguhada,0
research,연구,yeongu,0
resource,의지,uiji,0
respond,대답하다,daedaphada,0
the rest,나머지,nameoji,0
result,결과,gyeolgwa,0
to return,돌아오다,doraoda,0
reveal,드러내다,deureonaeda,0
rich,부자,buja,0
right,오른쪽,oreunjjok,0
to ring,울리다,ulrida,0
to rise,상승하다,sangseunghada,0
the river,강,gang,0
the road,길,gil,0
rock,바위,bawi,0
role,역할,yeokhal,0
the room,방,bang,0
the rule,규칙,gyuchik,0
to run,달리다,dalrida,0
safe,안전한,anjeonhan,0
same,같은,gateun,0
to save,저장하다,jeojanghada,0
to say,말하다,malhada,0
scene,장면,jangmyeon,0
school,학교,hakgyo,0
science,과학,gwahak,0
score,점수,jeomsu,0
the sea,바다,bada,0
season,계절,gyejeol,0
the seat,좌석,jwaseok,0
second,두번째,dubeonjjae,0
the section,섹션,seksyeon,0
to see,보려고,boryeogo,0
seek,구하다,guhada,0
to seem,~처럼 보인다,~cheoreom boinda,0
to sell,팔다,palda,0
to send,보내다,bonaeda,0
the sense,감각,gamgak,0
serious,심각한,simgakhan,0
to serve,봉사하다,bongsahada,0
to set,설정하다,seoljeonghada,0
to seven,일곱까지,ilgopkkaji,0
several,여러 개의,yeoreo gaeui,0
to shake,흔들다,heundeulda,0
shall,~일 것이다,~il geosida,0
the shape,모양,moyang,0
to share,공유하다,gongyuhada,0
she,그녀,geunyeo,0
the sheet,시트,siteu,0
shine,빛나는,bitnaneun,0
the ship,배,bae,0
the shirt,셔츠,syeocheu,0
the shoe,신발,sinbal,0
shop,가게,gage,0
short,짧은,jjalbeun,0
should,~해야 한다,~haeya handa,0
the shoulder,어깨,eokkae,0
to show,보여주기 위해,boyeojugi wihae,0
the side,측면,cheukmyeon,0
the sign,표시,pyosi,0
significant,중요한,jungyohan,0
similar,비슷한,biseuthan,0
simple,단순한,dansunhan,0
since,~부터,~buteo,0
to sing,노래하다,noraehada,0
single,하나의,hanaui,0
sir,선생님,seonsaengnim,0
the sister,여동생,yeodongsaeng,0
to sit,앉다,anda,0
site,대지,daeji,0
the situation,상황,sanghwang,0
six,육,yuk,0
to size,크기에 맞춰,keugie matchwo,0
skill,기능,gineung,0
the skin,피부,pibu,0
the sky,하늘,haneul,0
to sleep,잠을 자다,jameul jada,0
slow,느린,neurin,0
small,작은,jageun,0
to smile,미소 짓다,miso jitda,0
to smoke,담배를 피우다,dambaereul piuda,0
the snow,눈,nun,0
so,그래서,geuraeseo,0
social,사회의,sahoeui,0
the society,사회,sahoe,0
the soft,부드러운,budeureoun,0
some,일부,ilbu,0
someone,누구,nugu,0
something,무엇,mueot,0
sometimes,때때로,ttaettaero,0
the son,아들,adeul,0
the song,노래,norae,0
soon,곧,got,0
sorry,죄송합니다,joesonghapnida,0
the sort,종류,jongryu,0
the sound,소리,sori,0
south,남쪽,namjjok,0
the space,공간,gonggan,0
to speak,말하다,malhada,0
special,특별한,teukbyeolhan,0
specific,특정한,teukjeonghan,0
speech,연설,yeonseol,0
speed,속도,sokdo,0
to spend,지출하다,jichulhada,0
sport,스포츠,seupocheu,0
spot,점,jeom,0
spread,확산,hwaksan,0
the spring,봄,bom,0
the square,광장,gwangjang,0
to stand,서다,seoda,0
standard,기준,gijun,0
the star,별,byeol,0
to start,시작하다,sijakhada,0
to state,진술하다,jinsulhada,0
the station,역,yeok,0
to stay,머무르다,meomureuda,0
the step,단계,dangye,0
to stick,붙이다,butida,0
still,아직,ajik,0
the stone,돌,dol,0
to stop,멈추다,meomchuda,0
the store,가게,gage,0
the story,이야기,iyagi,0
straight,똑바로,ttokbaro,0
strange,이상한,isanghan,0
the street,거리,geori,0
strong,강한,ganghan,0
student,학생,haksaeng,0
to study,공부하다,gongbuhada,0
stuff,물건,mulgeon,0
style,스타일,seutail,0
subject,주제,juje,0
to succeed,성공하다,seonggonghada,0
such,그런,geureon,0
to sudden,갑자기,gapjagi,0
to suggest,제안하다,jeanhada,0
suit,정장,jeongjang,0
the summer,여름,yeoreum,0
the sun,태양,taeyang,0
to supply,공급하다,gonggeuphada,0
to support,지원하다,jiwonhada,0
to suppose,가정하다,gajeonghada,0
sure,확신하는,hwaksinhaneun,0
surface,표면,pyomyeon,0
to surprise,놀라게 하다,nolrage hada,0
sweet,달콤한,dalkomhan,0
the table,테이블,teibeul,0
to take,가져가다,gajyeogada,0
to talk,이야기하다,iyagihada,0
tall,키가 큰,kiga keun,0
the taste,맛,mat,0
the tax,세금,segeum,0
to teach,가르치다,gareuchida,0
team,팀,tim,0
to tell,말하다,malhada,0
to ten,10시까지,10sikkaji,0
term,용어,yongeo,0
the test,테스트,teseuteu,0
than,~보다,~boda,0
thank,감사하다,gamsahada,0
that,저것,jeogeot,0
the,그만큼,geumankeum,0
their,그들의,geudeurui,0
them,그들을,geudeureul,0
to then,그때까지,geuttaekkaji,0
there,거기,geogi,0
these,이것들,igeotdeul,0
they,그들,geudeul,0
thick,두꺼운,dukkeoun,0
thin,얇은,yalbeun,0
the thing,그 것,geu geot,0
to think,생각하다,saenggakhada,0
third,제삼,jesam,0
this,이것,igeot,0
those,저것들,jeogeotdeul,0
though,그렇지만,geureochiman,0
the thought,생각,saenggak,0
thousand,천,cheon,0
three,삼,sam,0
through,~을 통해,~eul tonghae,0
to throw,던지기,deonjigi,0
thus,따라서,ttaraseo,0
the tie,넥타이,nektai,0
the time,시간,sigan,0
tiny,매우 작은,maeu jageun,0
tire,타이어,taieo,0
to,에게,ege,0
today,오늘,oneul,0
the together,함께,hamkke,0
tomorrow,내일,naeil,0
tone,음정,eumjeong,0
tongue,혀,hyeo,0
too,~도,~do,0
tool,도구,dogu,0
the tooth,치아,chia,0
the top,상단,sangdan,0
total,총,chong,0
to touch,만지다,manjida,0
toward,~ 을 향하여,~ eul hyanghayeo,0
the town,마을,maeul,0
track,길,gil,0
the trade,무역,muyeok,0
to train,훈련하다,hunryeonhada,0
to travel,여행하다,yeohaenghada,0
the tree,나무,namu,0
trial,재판,jaepan,0
trip,여행,yeohaeng,0
the trouble,문제,munje,0
true,진실,jinsil,0
trust,신뢰하다,sinroehada,0
truth,진실,jinsil,0
to try,시도하다,sidohada,0
to turn,회전하다,hoejeonhada,0
twelve,열둘,yeoldul,0
twenty,이십,isip,0
two,둘,dul,0
type,유형,yuhyeong,0
the under,아래,arae,0
to understand,이해하다,ihaehada,0
the unit,단위,danwi,0
until,~까지,~kkaji,0
up,위로,wiro,0
upon,...에,...e,0
to use,사용하다,sayonghada,0
usual,평소,pyeongso,0
the value,가치,gachi,0
various,다양한,dayanghan,0
very,매우,maeu,0
the view,보기,bogi,0
village,마을,maeul,0
to visit,방문하다,bangmunhada,0
the voice,목소리,moksori,0
to wait,기다리다,gidarida,0
to walk,걷기,geotgi,0
the wall,벽,byeok,0
to want,원하다,wonhada,0
the war,전쟁,jeonjaeng,0
warm,따뜻한,ttatteuthan,0
to warn,경고하다,gyeonggohada,0
to wash,씻다,ssitda,0
to watch,시청하다,sicheonghada,0
the water,물,mul,0
the wave,파도,pado,0
the way,방법,bangbeop,0
we,우리,uri,0
weak,약한,yakhan,0
wealth,재산,jaesan,0
to wear,입다,ipda,0
the weather,날씨,nalssi,0
the week,주,ju,0
the weight,무게,muge,0
welcome,환영,hwanyeong,0
well,잘,jal,0
west,서쪽,seojjok,0
what,무엇,mueot,0
to when,언제까지,eonjekkaji,0
where,어디,eodi,0
the whether,여부,yeobu,0
which,어느,eoneu,0
while,~하는 동안,~haneun dongan,0
white,하얀색,hayansaek,0
who,WHO,WHO,0
whole,전체,jeonche,0
whom,누구,nugu,0
whose,누구의,nuguui,0
why,왜,wae,0
wide,넓은,neolbeun,0
wife,부인,buin,0
wild,야생의,yasaengui,0
will,~ 할 것이다,~ hal geosida,0
to win,승리하다,seungrihada,0
wind,바람,baram,0
the window,창문,changmun,0
the wine,와인,wain,0
the wing,날개,nalgae,0
the winter,겨울,gyeoul,0
the wire,철사,cheolsa,0
to wise,현명하다,hyeonmyeonghada,0
to wish,소원하다,sowonhada,0
with,~와 함께,~wa hamkke,0
within,이내에,inaee,0
without,없이,eopsi,0
the woman,여자,yeoja,0
the wonder,경이로움,gyeongiroum,0
the wood,나무,namu,0
to work,일하다,ilhada,0
world,세계,segye,0
to worry,걱정하다,geokjeonghada,0
worth,가치,gachi,0
would,~일 것이다,~il geosida,0
to write,쓰다,sseuda,0
wrong,잘못된,jalmotdoen,0
yard,마당,madang,0
yeah,응,eung,0
the year,연도,yeondo,0
yes,예,ye,0
yet,아직,ajik,0
you,너,neo,0
young,어린,eorin,0
your,당신의,dangsinui,0
