English,Translation,Transcription,Similar
to happen,起こる,okoru,0
happy,ハッピー,happii,0
hard,難しい,muzukashii,0
to have,持つ,motsu,0
he,彼,kare,0
the head,頭,atama,0
the health,健康,kenkou,0
to hear,聞く,kiku,0
the heart,心,kokoro,0
the heat,暑さ,atsusa,0
heavy,重い,omoi,0
to help,助けるために,tasukerutameni,0
the her,彼女の,kanojono,0
here,ここ,koko,0
the high,高い,takai,0
hill,丘,oka,0
him,彼,kare,0
his,彼の,kano,0
the history,歴史,rekishi,0
hit,打つ,utsu,0
to hold,保持する,hojisuru,0
the hole,穴,ana,0
the home,家,ie,0
to hope,希望する,kibousuru,0
the horse,馬,uma,0
hot,熱い,atsui,0
the hour,時間,jikan,0
the house,家,ie,0
how,どうやって,douyatte,0
the however,しかし、,"shikashi,",0
human,人間,ningen,0
hundred,百,hyaku,0
husband,夫,otto,0
the idea,アイデア,aidea,0
to identify,特定する,tokuteisuru,0
if,もし,moshi,0
image,画像,gazou,0
imagine,想像する,souzousuru,0
important,重要,juuyou,0
improve,改善する,kaizensuru,0
in,で,de,0
to include,含める,fukumeru,0
to increase,増やす,fuyasu,0
indeed,確かに,tashikani,0
to indicate,示す,shimesu,0
individual,個人,kojin,0
the industry,業界,gyoukai,0
the information,情報,jouhou,0
inside,内部,naibu,0
instead,その代わり,sonokawari,0
the interest,興味,kyoumi,0
into,の中へ,nonakahe,0
to introduce,紹介する,shoukaisuru,0
invest,投資する,toushisuru,0
involve,関与する,kanyosuru,0
the iron,鉄,tetsu,0
the island,島,shima,0
issue,問題,mondai,0
it,それ,sore,0
job,仕事,shigoto,0
to join,参加する,sankasuru,0
just,ただ,tada,0
to keep,保つ,tamotsu,0
the key,鍵,kagi,0
kid,子供,kodomo,0
to kill,殺す,korosu,0
kind,親切,shinsetsu,0
king,王,ou,0
to kitchen,キッチンへ,kitchinhe,0
to know,知ること,shirukoto,0
the land,土地,tochi,0
the language,言語,gengo,0
large,大きい,ookii,0
last,最後,saigo,0
to late,遅くまで,osokumade,0
to laugh,笑うこと,waraukoto,0
the law,法律,houritsu,0
lay,横たわる,yokotawaru,0
the lead,リード,riido,0
to learn,学ぶ,manabu,0
least,少しでも,sukoshidemo,0
to leave,去る,saru,0
left,左,hidari,0
the leg,脚,ashi,0
length,長さ,nagasa,0
less,少ない,sukunai,0
to let,させます,sasemasu,0
the letter,手紙,tegami,0
the level,レベル,reberu,0
to lie,嘘をつく,usowotsuku,0
life,人生,jinsei,0
the light,光,hikari,0
to like,好きになる,sukininaru,0
likely,おそらく,osoraku,0
the line,ライン,rain,0
the list,リスト,risuto,0
to listen,聞く,kiku,0
little,少し,sukoshi,0
to live,生きる,ikiru,0
local,地元,jimoto,0
long,長さ,nagasa,0
to look,見る,miru,0
to lose,失うこと,ushinaukoto,0
the loss,損失,sonshitsu,0
lot,多く,ooku,0
to love,愛すること,aisurukoto,0
low,低い,hikui,0
the machine,機械,kikai,0
main,主要,shuyou,0
to make,作る,tsukuru,0
the man,その男,sonootoko,0
many,多くの,ookuno,0
the map,地図,chizu,0
the mark,マーク,maaku,0
the market,市場,shijou,0
marry,結婚する,kekkonsuru,0
the matter,その問題,sonomondai,0
may,5月,5gatsu,0
maybe,多分,tabun,0
me,自分,jibun,0
to mean,意味する,imisuru,0
the measure,尺度,shakudo,0
the meat,肉,niku,0
to meet,会う,au,0
the member,メンバー,menbaa,0
the memory,記憶,kioku,0
the mention,言及,genkyuu,0
method,方法,houhou,0
the middle,真ん中,mannaka,0
might,かもしれない,kamoshirenai,0
mile,マイル,mairu,0
the milk,牛乳,gyuunyuu,0
the mind,心,kokoro,0
the minute,その分,sonofun,0
miss,逃す,nogasu,0
model,モデル,moderu,0
the moment,その瞬間,sonoshunkan,0
the money,お金,okin,0
the month,月,gatsu,0
more,もっと,motto,0
the morning,朝,asa,0
most,ほとんど,hotondo,0
the mother,母親,hahaoya,0
the mouth,口,kuchi,0
to move,移動する,idousuru,0
much,多くの,ookuno,0
the music,音楽,ongaku,0
must,しなければならない,shinakerebanaranai,0
the name,名前,namae,0
the nation,国家,kokka,0
natural,自然,shizen,0
nature,自然,shizen,0
near,近く,chikaku,0
nearly,ほぼ,hobo,0
necessary,必要,hitsuyou,0
to need,必要とする,hitsuyoutosuru,0
the never,決して,kesshite,0
new,新しい,atarashii,0
the news,ニュース,nyuusu,0
next,次,tsugi,0
nice,ニース,niisu,0
the night,夜,yoru,0
nine,九,kyuu,0
no,いいえ,iie,0
none,なし,nashi,0
normal,普通,futsuu,0
north,北,kita,0
the nose,鼻,hana,0
not,ない,nai,0
the note,メモ,memo,0
nothing,何もない,nanimonai,0
to notice,気づく,kizuku,0
now,今,ima,0
the number,番号,bangou,0
occur,起こる,okoru,0
ocean,海,umi,0
of,の,no,0
off,オフ,ofu,0
to offer,提供する,teikyousuru,0
the office,オフィス,ofisu,0
to often,頻繁に,hinpanni,0
the oil,油,abura,0
old,古い,furui,0
on,の上,noue,0
once,一度,ichido,0
one,1つ,1tsu,0
only,のみ,nomi,0
to open,開く,hiraku,0
to operate,操作する,sousasuru,0
the opportunity,機会,kikai,0
the or,または,mataha,0
to order,注文する,chuumonsuru,0
to organize,整理する,seirisuru,0
the other,もう一方の,mouippouno,0
our,私たちの,watashitachino,0
out,外,soto,0
outside,外,soto,0
the over,終わった,owatta,0
to own,所有する,shoyuusuru,0
the owner,所有者,shoyuusha,0
the page,ページ,peeji,0
the paint,ペイント,peinto,0
pair,ペア,pea,0
the paper,紙,kami,0
parent,親,oya,0
the part,その部分,sonobubun,0
particular,特定の,tokuteino,0
party,パーティー,paateii,0
to pass,通過する,tsuukasuru,0
past,過去,kako,0
path,パス,pasu,0
patient,忍耐強い,nintaitsuyoi,0
pattern,パターン,pataan,0
to pay,支払う,shiharau,0
the peace,平和,heiwa,0
people,人々,hitobito,0
the per,当たり,atari,0
perform,実行する,jikkousuru,0
perhaps,多分,tabun,0
period,期間,kikan,0
the person,その人,sononin,0
personal,個人的,kojinteki,0
phone,電話,denwa,0
photo,写真,shashin,0
to pick,選ぶ,erabu,0
the picture,絵,e,0
piece,ピース,piisu,0
the place,場所,basho,0
plan,プラン,puran,0
the plant,植物,shokubutsu,0
to play,遊ぶ,asobu,0
please,お願いします,onegaishimasu,0
the point,要点,youten,0
police,警察,keisatsu,0
policy,ポリシー,porishii,0
the poor,貧しい人,mazushiinin,0
popular,人気のある,ninkinoaru,0
the position,位置,ichi,0
possible,可能,kanou,0
post,役職,yakushoku,0
the power,力,chikara,0
practice,練習する,renshuusuru,0
to prepare,準備する,junbisuru,0
to present,提示する,teijisuru,0
press,プレス,puresu,0
pretty,かわいい,kawaii,0
to prevent,防ぐために,fusegutameni,0
the price,価格,kakaku,0
probably,おそらく,osoraku,0
problem,問題,mondai,0
the process,プロセス,purosesu,0
to produce,生産する,seisansuru,0
product,製品,seihin,0
program,プログラム,puroguramu,0
project,プロジェクト,purojiekuto,0
to promise,約束する,yakusokusuru,0
prove,証明する,shoumeisuru,0
to provide,提供する,teikyousuru,0
public,公共,koukyou,0
to pull,引っ張る,hipparu,0
the purpose,目的,mokuteki,0
to push,押す,osu,0
to put,置く,oku,0
the quality,品質,hinshitsu,0
the question,質問,shitsumon,0
quick,素早い,subayai,0
the quiet,静かな,shizukana,0
quite,とても,totemo,0
race,人種,jinshu,0
radio,無線,musen,0
the rain,雨,ame,0
to raise,上げる,ageru,0
the range,範囲,han'i,0
to rate,評価する,hyoukasuru,0
the rather,むしろ,mushiro,0
to reach,到達する,toutatsusuru,0
to read,読む,yomu,0
ready,準備ができて,junbigadekite,0
real,本物,honmono,0
to realize,実現する,jitsugensuru,0
really,本当に,hontouni,0
the reason,理由,riyuu,0
to receive,受け取る,uketoru,0
recent,最近の,saikinno,0
to recognize,認識する,ninshikisuru,0
to record,記録する,kirokusuru,0
red,赤,aka,0
to reduce,減らす,herasu,0
the refer,参照,sanshou,0
reflect,反映する,han'eisuru,0
region,地域,chiiki,0
to relate,関連する,kanrensuru,0
the religion,宗教,shuukyou,0
remain,残る,nokoru,0
to remember,思い出す,omoidasu,0
to remove,取り除く,torinozoku,0
to report,報告する,houkokusuru,0
to represent,表す,arawasu,0
to require,要求する,youkyuusuru,0
research,研究,kenkyuu,0
resource,リソース,risoosu,0
respond,応答する,outousuru,0
the rest,残り,nokori,0
result,結果,kekka,0
to return,戻る,modoru,0
reveal,明らかにする,akirakanisuru,0
rich,リッチ,ritchi,0
right,右,migi,0
to ring,鳴らします,narashimasu,0
to rise,上昇する,joushousuru,0
the river,川,kawa,0
the road,道路,douro,0
rock,ロック,rokku,0
role,役割,yakuwari,0
the room,部屋,heya,0
the rule,ルール,ruuru,0
to run,走る,hashiru,0
safe,安全,anzen,0
same,同じ,onaji,0
to save,保存する,hozonsuru,0
to say,言うこと,iukoto,0
scene,シーン,shiin,0
school,学校,gakkou,0
science,科学,kagaku,0
score,スコア,sukoa,0
the sea,海,umi,0
season,季節,kisetsu,0
the seat,座席,zaseki,0
second,2番,2ban,0
the section,セクション,sekushon,0
to see,見る,miru,0
seek,求める,motomeru,0
to seem,見える,mieru,0
to sell,売る,uru,0
to send,送る,okuru,0
the sense,感覚,kankaku,0
serious,深刻な,shinkokuna,0
to serve,奉仕する,houshisuru,0
to set,設定する,setteisuru,0
to seven,7時まで,7tokimade,0
several,いくつかの,ikutsukano,0
to shake,振る,furu,0
shall,するだろう,surudarou,0
the shape,形,katachi,0
to share,共有する,kyouyuusuru,0
she,彼女,kanojo,0
the sheet,シート,shiito,0
shine,輝く,kagayaku,0
the ship,船,fune,0
the shirt,シャツ,shatsu,0
the shoe,靴,kutsu,0
shop,店,mise,0
short,短い,mijikai,0
should,すべき,subeki,0
the shoulder,肩,kata,0
to show,見せる,miseru,0
the side,側面,sokumen,0
the sign,サイン,sain,0
significant,重要な,juuyouna,0
similar,似ている,niteiru,0
simple,単純,tanjun,0
since,以来,irai,0
to sing,歌うこと,utaukoto,0
single,シングル,shinguru,0
sir,お客様,okyakusama,0
the sister,妹,imouto,0
to sit,座る,suwaru,0
site,サイト,saito,0
the situation,状況,joukyou,0
six,六,roku,0
to size,サイズに合わせて,saizuniawasete,0
skill,スキル,sukiru,0
the skin,皮膚,hifu,0
the sky,空,sora,0
to sleep,寝る,neru,0
slow,遅い,osoi,0
small,小さい,chiisai,0
to smile,微笑む,hohoemu,0
to smoke,喫煙する,kitsuensuru,0
the snow,雪,yuki,0
so,それで,sorede,0
social,社交,shakou,0
the society,社会,shakai,0
the soft,柔らかい,yawarakai,0
some,いくつかの,ikutsukano,0
someone,誰か,dareka,0
something,何か,nanika,0
sometimes,時々,tokidoki,0
the son,息子,musuko,0
the song,歌,uta,0
soon,すぐ,sugu,0
sorry,ごめん,gomen,0
the sort,種類,shurui,0
the sound,音,oto,0
south,南,minami,0
the space,空間,kuukan,0
to speak,話す,hanasu,0
special,特別,tokubetsu,0
specific,特定の,tokuteino,0
speech,スピーチ,supiichi,0
speed,スピード,supiido,0
to spend,過ごす,sugosu,0
sport,スポーツ,supootsu,0
spot,スポット,supotto,0
spread,広める,hiromeru,0
the spring,春,haru,0
the square,広場,hiroba,0
to stand,立つ,tatsu,0
standard,標準,hyoujun,0
the star,星,hoshi,0
to start,始める,hajimeru,0
to state,述べます,nobemasu,0
the station,駅,eki,0
to stay,滞在する,taizaisuru,0
the step,ステップ,suteppu,0
to stick,くっつく,kuttsuku,0
still,まだ,mada,0
the stone,石,ishi,0
to stop,止める,yameru,0
the store,店,mise,0
the story,物語,monogatari,0
straight,真っ直ぐ,massugugu,0
strange,奇妙な,kimyouna,0
the street,通り,touri,0
strong,強い,tsuyoi,0
student,学生,gakusei,0
to study,勉強する,benkyousuru,0
stuff,もの,mono,0
style,スタイル,sutairu,0
subject,主題,shudai,0
to succeed,成功する,seikousuru,0
such,そのような,sonoyouna,0
to sudden,突然に,totsuzenni,0
to suggest,提案する,teiansuru,0
suit,スーツ,suutsu,0
the summer,夏,natsu,0
the sun,太陽,taiyou,0
to supply,供給する,kyoukyuusuru,0
to support,サポートする,sapootosuru,0
to suppose,推測する,suisokusuru,0
sure,もちろん,mochiron,0
surface,表面,hyoumen,0
to surprise,驚かせる,odorokaseru,0
sweet,甘い,amai,0
the table,テーブル,teeburu,0
to take,取る,toru,0
to talk,話す,hanasu,0
tall,高い,takai,0
the taste,味,aji,0
the tax,税金,zeikin,0
to teach,教える,oshieru,0
team,チーム,chiimu,0
to tell,伝える,tsutaeru,0
to ten,10まで,10made,0
term,学期,gakki,0
the test,テスト,tesuto,0
than,よりも,yorimo,0
thank,感謝,kansha,0
that,それ,sore,0
the,の,no,0
their,彼らの,karerano,0
them,彼ら,karera,0
to then,それまで,soremade,0
there,そこには,sokoniha,0
these,これら,korera,0
they,彼らは,kareraha,0
thick,厚い,atsui,0
thin,薄い,usui,0
the thing,事,koto,0
to think,考える,kangaeru,0
third,三番目,sanbanme,0
this,これ,kore,0
those,それらの,sorerano,0
though,けれど,keredo,0
the thought,考え,kangae,0
thousand,千,sen,0
three,三つ,mittsu,0
through,を通して,wotoushite,0
to throw,投げる,nageru,0
thus,したがって,shitagatte,0
the tie,ネクタイ,nekutai,0
the time,時間,jikan,0
tiny,小さい,chiisai,0
tire,タイヤ,taiya,0
to,に,ni,0
today,今日,kyou,0
the together,一緒に,isshoni,0
tomorrow,明日,ashita,0
tone,トーン,toon,0
tongue,舌,shita,0
too,あまりにも,amarinimo,0
tool,道具,dougu,0
the tooth,歯,ha,0
the top,一番上,ichiban'ue,0
total,合計,goukei,0
to touch,触れる,fureru,0
toward,向かって,mukatte,0
the town,町,machi,0
track,追跡,tsuiseki,0
the trade,貿易,boueki,0
to train,訓練する,kunrensuru,0
to travel,旅行する,ryokousuru,0
the tree,木,ki,0
trial,トライアル,toraiaru,0
trip,旅行,ryokou,0
the trouble,問題,mondai,0
true,真実,shinjitsu,0
trust,信頼,shinrai,0
truth,真実,shinjitsu,0
to try,試してみる,tameshitemiru,0
to turn,回す,mawasu,0
twelve,12,12,0
twenty,二十,nijuu,0
two,二,ni,0
type,タイプ,taipu,0
the under,下の,shitano,0
to understand,理解する,rikaisuru,0
the unit,ユニット,yunitto,0
until,それまで,soremade,0
up,上,ue,0
upon,その上,sonoue,0
to use,使用する,shiyousuru,0
usual,いつもの,itsumono,0
the value,値,atai,0
various,様々な,samazamana,0
very,とても,totemo,0
the view,景色,keshiki,0
village,村,mura,0
to visit,訪問する,houmonsuru,0
the voice,声,koe,0
to wait,待つ,matsu,0
to walk,歩く,aruku,0
the wall,壁,kabe,0
to want,欲しい,hoshii,0
the war,戦争,sensou,0
warm,暖かい,atatakai,0
to warn,警告する,keikokusuru,0
to wash,洗う,arau,0
to watch,見る,miru,0
the water,水,mizu,0
the wave,波,nami,0
the way,道,michi,0
we,私たちは,watashitachiha,0
weak,弱い,yowai,0
wealth,富,tomi,0
to wear,着る,kiru,0
the weather,天候,tenkou,0
the week,その週,sonoshuu,0
the weight,体重,taijuu,0
welcome,いらっしゃいませ,irasshaimase,0
well,良い,yoi,0
west,西,nishi,0
what,何,nani,0
to when,いつまでに,itsumadeni,0
where,どこ,doko,0
the whether,かどうか,kadouka,0
which,どれの,doreno,0
while,その間,sonokan,0
white,白,shiro,0
who,誰が,darega,0
whole,全体,zentai,0
whom,誰,dare,0
whose,だれの,dareno,0
why,なぜ,naze,0
wide,広い,hiroi,0
wife,妻,tsuma,0
wild,野生,yasei,0
will,意思,ishi,0
to win,勝つために,katsutameni,0
wind,風,kaze,0
the window,窓,mado,0
the wine,ワイン,wain,0
the wing,翼,tsubasa,0
the winter,冬,fuyu,0
the wire,ワイヤー,waiyaa,0
to wise,賢明に,kenmeini,0
to wish,望むこと,nozomukoto,0
with,と,to,0
within,内で,naide,0
without,それなし,sorenashi,0
the woman,女性,josei,0
the wonder,不思議,fushigi,0
the wood,木,ki,0
to work,働く,hataraku,0
world,世界,sekai,0
to worry,心配する,shinpaisuru,0
worth,価値,kachi,0
would,するだろう,surudarou,0
to write,書く,kaku,0
wrong,間違っている,machigatsuteiru,0
yard,ヤード,yaado,0
yeah,うん,un,0
the year,年,nen,0
yes,はい,hai,0
yet,まだ,mada,0
you,あなた,anata,0
young,若い,wakai,0
your,あなたの,anatano,0
