English,Translation,,Similar
improve,améliorer,,0
in,dans,,0
to include,inclure,,1
to increase,augmenter,,0
indeed,en effet,,0
to indicate,pour indiquer,,0
individual,individuel,,1
the industry,l'industrie,,0
the information,les informations,,0
inside,à l'intérieur,,0
instead,plutôt,,0
the interest,l'intérêt,,0
into,dans,,0
to introduce,présenter,,0
invest,investir,,1
involve,impliquer,,0
the iron,le fer,,0
the island,l'île,,0
issue,problème,,0
it,il,,0
job,emploi,,0
to join,rejoindre,,0
just,juste,,1
to keep,garder,,0
the key,la clé,,0
kid,enfant,,0
to kill,tuer,,0
kind,gentil,,0
king,roi,,0
to kitchen,à la cuisine,,0
to know,savoir,,0
the land,la terre,,0
the language,la langue,,0
large,grand,,0
last,dernier,,0
to late,trop tard,,0
to laugh,rire,,0
the law,la loi,,0
lay,poser,,0
the lead,le chef,,0
to learn,apprendre,,0
least,moins,,0
to leave,partir,,0
left,gauche,,0
the leg,la jambe,,0
length,longueur,,0
less,moins,,0
to let,laisser,,0
the letter,la lettre,,0
the level,le niveau,,0
to lie,mentir,,0
life,vie,,0
the light,la lumière,,0
to like,aimer,,0
likely,probable,,0
the line,la ligne,,0
the list,la liste,,0
to listen,écouter,,0
little,petit,,0
to live,vivre,,0
local,locale,,1
long,long,,1
to look,regarder,,0
to lose,perdre,,0
the loss,la perte,,0
lot,parcelle,,0
to love,aimer,,0
low,faible,,0
the machine,la machine,,0
main,principal,,0
to make,faire,,0
the man,l'homme,,0
many,beaucoup,,0
the map,la carte,,0
the mark,la marque,,0
the market,le marché,,0
marry,marier,,1
the matter,la question,,0
may,peut,,0
maybe,peut être,,0
me,moi,,0
to mean,signifier,,0
the measure,la mesure,,0
the meat,la viande,,0
to meet,rencontrer,,0
the member,le membre,,0
the memory,la mémoire,,0
the mention,la mention,,0
method,méthode,,0
the middle,le milieu,,0
might,pourrait,,0
mile,mile,,1
the milk,le lait,,0
the mind,l'esprit,,0
the minute,la minute,,0
miss,manquer,,0
model,modèle,,1
the moment,le moment,,0
the money,l'argent,,0
the month,le mois,,0
more,plus,,0
the morning,le matin,,0
most,la plupart,,0
the mother,la mère,,0
the mouth,la bouche,,0
to move,bouger,,0
much,beaucoup,,0
the music,la musique,,0
must,doit,,0
the name,le nom,,0
the nation,la nation,,0
natural,naturel,,1
nature,nature,,1
near,près,,0
nearly,presque,,0
necessary,nécessaire,,0
to need,avoir besoin,,0
the never,le jamais,,0
new,nouveau,,0
the news,les nouvelles,,0
next,suivant,,0
nice,bon,,0
the night,la nuit,,0
nine,neuf,,0
no,Non,,0
none,aucun,,0
normal,normale,,1
north,nord,,1
the nose,le nez,,0
not,pas,,0
the note,la note,,0
nothing,rien,,0
to notice,remarquer,,0
now,maintenant,,0
the number,le numéro,,0
occur,se produire,,0
ocean,océan,,0
of,de,,0
off,désactivé,,0
to offer,offrir,,1
the office,le bureau,,0
to often,trop souvent,,0
the oil,l'huile,,0
old,vieux,,0
on,sur,,0
once,une fois,,0
one,un,,0
only,seulement,,0
to open,ouvrir,,0
to operate,faire fonctionner,,0
the opportunity,l'opportunité,,0
the or,le ou,,0
to order,commander,,0
to organize,organiser,,1
the other,l'autre,,0
our,notre,,0
out,dehors,,0
outside,dehors,,0
the over,le fini,,0
to own,posséder,,0
the owner,le propriétaire,,0
the page,la page,,0
the paint,la peinture,,0
pair,paire,,1
the paper,le papier,,0
parent,mère,,0
the part,la partie,,0
particular,particulier,,1
party,faire la fête,,0
to pass,passer,,1
past,passé,,1
path,chemin,,0
patient,patient,,1
pattern,modèle,,0
to pay,payer,,0
the peace,la paix,,0
people,personnes,,0
the per,le par,,0
perform,effectuer,,0
perhaps,peut-être,,0
period,période,,0
the person,la personne,,0
personal,personnel,,1
phone,téléphone,,0
photo,photo,,1
to pick,choisir,,0
the picture,la photo,,0
piece,morceau,,0
the place,l'endroit,,0
plan,plan,,1
the plant,la plante,,0
to play,jouer,,0
please,s'il te plaît,,0
the point,le point,,0
police,police,,1
policy,politique,,1
the poor,les pauvres,,0
popular,populaire,,1
the position,le poste,,0
possible,possible,,1
post,poste,,1
the power,le pouvoir,,0
practice,pratique,,0
to prepare,préparer,,0
to present,présenter,,0
press,presse,,1
pretty,joli,,0
to prevent,pour empêcher,,0
the price,le prix,,0
probably,probablement,,1
problem,problème,,1
the process,le processus,,0
to produce,produire,,1
product,produit,,1
program,programme,,1
project,projet,,1
to promise,promettre,,1
prove,prouver,,1
to provide,fournir,,0
public,publique,,1
to pull,tirer,,0
the purpose,le but,,0
to push,pousser,,0
to put,mettre,,0
the quality,la qualité,,0
the question,la question,,0
quick,rapide,,0
the quiet,le calme,,0
quite,assez,,0
race,course,,0
radio,radio,,1
the rain,la pluie,,0
to raise,élever,,0
the range,la gamme,,0
to rate,évaluer,,0
the rather,le plutôt,,0
to reach,atteindre,,0
to read,lire,,0
ready,prêt,,0
real,réel,,0
to realize,se rendre compte,,0
really,vraiment,,0
the reason,la raison,,0
to receive,recevoir,,1
recent,récent,,0
to recognize,reconnaître,,1
to record,enregistrer,,0
red,rouge,,0
to reduce,réduire,,0
the refer,la référence,,0
reflect,refléter,,1
region,région,,0
to relate,se rapporter,,0
the religion,la religion,,0
remain,rester,,0
to remember,se souvenir,,0
to remove,supprimer,,0
to report,signaler,,0
to represent,représenter,,1
to require,exiger,,0
research,recherche,,0
resource,ressource,,0
respond,répondre,,0
the rest,le reste,,0
result,résultat,,0
to return,revenir,,0
reveal,révéler,,0
rich,riche,,1
right,droite,,0
to ring,sonner,,0
to rise,s'élever,,0
the river,la rivière,,0
the road,la route,,0
rock,rocher,,1
role,rôle,,0
the room,la chambre,,0
the rule,la règle,,0
to run,courir,,0
safe,sûr,,0
same,même,,0
to save,sauver,,0
to say,dire,,0
scene,scène,,0
school,école,,0
science,science,,1
score,score,,1
the sea,la mer,,0
season,saison,,0
the seat,le siège,,0
second,deuxième,,0
the section,la rubrique,,0
to see,voir,,0
seek,chercher,,0
to seem,paraître,,0
to sell,vendre,,0
to send,envoyer,,0
the sense,le sens,,0
serious,sérieux,,0
to serve,servir,,1
to set,définir,,0
to seven,à sept heures,,0
several,plusieurs,,0
to shake,secouer,,0
shall,devoir,,0
the shape,la forme,,0
to share,partager,,0
she,elle,,0
the sheet,la feuille,,0
shine,briller,,0
the ship,le navire,,0
the shirt,la chemise,,0
the shoe,la chaussure,,0
shop,boutique,,0
short,court,,0
should,devrait,,0
the shoulder,l'épaule,,0
to show,montrer,,0
the side,le côté,,0
the sign,le signe,,0
significant,significatif,,1
similar,similaire,,1
simple,simple,,1
since,depuis,,0
to sing,chanter,,0
single,célibataire,,0
sir,Monsieur,,0
the sister,la soeur,,0
to sit,s'asseoir,,0
site,site,,1
the situation,la situation,,0
six,six,,0
to size,à la taille,,0
skill,compétence,,0
the skin,la peau,,0
the sky,le ciel,,0
to sleep,dormir,,0
slow,lent,,0
small,petit,,0
to smile,sourire,,0
to smoke,fumer,,0
the snow,la neige,,0
so,donc,,0
social,sociale,,1
the society,la société,,0
the soft,le doux,,0
some,quelques,,0
someone,quelqu'un,,0
something,quelque chose,,0
sometimes,parfois,,0
the son,le fils,,0
the song,la chanson,,0
soon,bientôt,,0
sorry,Désolé,,0
the sort,le genre,,0
the sound,le son,,0
south,sud,,0
the space,l'espace,,0
to speak,parler,,0
special,spécial,,0
specific,spécifique,,0
speech,discours,,0
speed,vitesse,,0
to spend,dépenser,,0
sport,sport,,1
spot,place,,0
spread,propagé,,0
the spring,le printemps,,0
the square,la place,,0
to stand,se tenir debout,,0
standard,standard,,1
the star,l'étoile,,0
to start,pour commencer,,0
to state,déclarer,,0
the station,la gare,,0
to stay,rester,,0
the step,l'étape,,0
to stick,coller,,0
still,toujours,,0
the stone,la pierre,,0
to stop,arrêter,,0
the store,le magasin,,0
the story,l'histoire,,0
straight,droit,,0
strange,étrange,,0
the street,la rue,,0
strong,fort,,0
student,étudiant,,0
to study,étudier,,0
stuff,truc,,0
style,style,,1
subject,sujet,,0
to succeed,réussir,,0
such,tel,,0
to sudden,trop soudainement,,0
to suggest,suggérer,,1
suit,costume,,0
the summer,l'été,,0
the sun,le soleil,,0
to supply,fournir,,0
to support,soutenir,,0
to suppose,supposer,,1
sure,bien sûr,,0
surface,surface,,1
to surprise,surprendre,,1
sweet,doux,,0
the table,le tableau,,0
to take,prendre,,0
to talk,parler,,0
tall,grand,,0
the taste,le goût,,0
the tax,la taxe,,0
to teach,enseigner,,0
team,équipe,,0
to tell,dire,,0
to ten,à dix,,0
term,terme,,1
the test,l'essai,,0
than,que,,0
thank,remercier,,0
that,que,,0
the,le,,0
their,leur,,0
them,eux,,0
to then,à alors,,0
there,là,,0
these,ces,,0
they,ils,,0
thick,épais,,0
thin,mince,,0
the thing,la chose,,0
to think,penser,,0
third,troisième,,0
this,ce,,0
those,ceux,,0
though,cependant,,0
the thought,la pensée,,0
thousand,mille,,0
three,trois,,0
through,à travers,,0
to throw,jeter,,0
thus,ainsi,,0
the tie,la cravate,,0
the time,le temps,,0
tiny,minuscule,,0
tire,pneu,,0
to,à,,0
today,aujourd'hui,,0
the together,ensemble,,0
tomorrow,demain,,0
tone,tonifier,,1
tongue,langue,,0
too,aussi,,0
tool,outil,,0
the tooth,la dent,,0
the top,le sommet,,0
total,total,,1
to touch,toucher,,1
toward,vers,,0
the town,la ville,,0
track,piste,,0
the trade,le commerce,,0
to train,s'entraîner,,0
to travel,voyager,,0
the tree,l'arbre,,0
trial,procès,,0
trip,voyage,,0
the trouble,le problème,,0
true,vrai,,0
trust,confiance,,0
truth,vérité,,0
to try,essayer,,0
to turn,tourner,,0
twelve,douze,,0
twenty,vingt,,0
two,deux,,0
type,taper,,0
the under,le dessous,,0
to understand,comprendre,,0
the unit,l'unité,,0
until,jusqu'à,,0
up,en haut,,0
upon,sur,,0
to use,utiliser,,0
usual,habituel,,0
the value,la valeur,,0
various,divers,,0
very,très,,0
the view,la vue,,0
village,village,,1
to visit,visiter,,1
the voice,la voix,,0
to wait,attendre,,0
to walk,marcher,,0
the wall,le mur,,0
to want,vouloir,,0
the war,la guerre,,0
warm,chaud,,0
to warn,avertir,,0
to wash,se laver,,0
to watch,regarder,,0
the water,l'eau,,0
the wave,la vague,,0
the way,le chemin,,0
we,nous,,0
weak,faible,,0
wealth,richesse,,0
to wear,porter,,0
the weather,la météo,,0
the week,la semaine,,0
the weight,le poids,,0
welcome,accueillir,,0
well,Bien,,0
west,Ouest,,0
what,quoi,,0
to when,à quand,,0
where,où,,0
the whether,le si,,0
which,lequel,,0
while,alors que,,0
white,blanc,,0
who,OMS,,0
whole,entier,,0
whom,qui,,0
whose,dont,,0
why,pourquoi,,0
wide,large,,0
wife,épouse,,0
wild,sauvage,,0
will,volonté,,0
to win,gagner,,0
wind,vent,,0
the window,la fenêtre,,0
the wine,le vin,,0
the wing,l'aile,,0
the winter,l'hiver,,0
the wire,le fil,,0
to wise,être sage,,0
to wish,souhaiter,,0
with,avec,,0
within,dans,,0
without,sans,,0
the woman,la femme,,0
the wonder,la merveille,,0
the wood,le bois,,0
to work,travailler,,0
world,monde,,0
to worry,s'inquiéter,,0
worth,valeur,,0
would,serait,,0
to write,écrire,,0
wrong,faux,,0
yard,cour,,0
yeah,Ouais,,0
the year,l'année,,0
yes,Oui,,0
yet,encore,,0
you,toi,,0
young,jeune,,0
your,ton,,0
